posting_id,vendor_id,document_date,document_type
DOC000122,VEND0350,2026-02-22,Vendor Invoice
DOC000123,VEND0314,2026-01-01,Payment
DOC000124,VEND0051,2026-04-04,Vendor Invoice
DOC000125,VEND0040,2026-02-18,Vendor Invoice
DOC000126,VEND0349,2026-05-17,Credit Memo
DOC000127,VEND0656,2026-01-02,Payment
DOC000128,VEND0225,2026-08-20,Vendor Invoice
DOC000129,VEND0563,2026-08-11,Journal Entry
DOC000130,VEND0475,2026-06-13,Vendor Invoice
DOC000131,VEND0442,2026-06-02,Journal Entry
DOC000132,VEND0180,2026-08-26,Payment
DOC000133,VEND0860,2026-08-09,Vendor Invoice
DOC000134,VEND0141,2026-06-17,Vendor Invoice
DOC000135,VEND0894,2026-02-16,Journal Entry
DOC000136,VEND0464,2026-02-25,Payment
DOC000137,VEND0472,2026-07-21,Payment
DOC000138,VEND0784,2026-05-26,Payment
DOC000139,VEND0543,2026-01-31,Vendor Invoice
DOC000140,VEND0969,2026-07-11,Payment
DOC000141,VEND0311,2026-06-03,Payment
DOC000142,VEND0871,2026-03-28,Vendor Invoice
DOC000143,VEND0046,2026-06-29,Payment
DOC000144,VEND0206,2026-02-24,Vendor Invoice
DOC000145,VEND0337,2026-08-27,Credit Memo
DOC000146,VEND0993,2026-03-22,Journal Entry
DOC000147,VEND0842,2026-02-24,Journal Entry
DOC000148,VEND0876,2026-01-09,Vendor Invoice
DOC000149,VEND0933,2026-05-30,Vendor Invoice
DOC000150,VEND0174,2026-07-12,Journal Entry
DOC000151,VEND0679,2026-01-22,Vendor Invoice
DOC000152,VEND0868,2026-01-29,Vendor Invoice
DOC000153,VEND0466,2026-01-17,Credit Memo
DOC000154,VEND0990,2026-07-21,Payment
DOC000155,VEND0370,2026-04-01,Credit Memo
DOC000156,VEND0765,2026-07-14,Payment
DOC000157,VEND0798,2026-08-02,Credit Memo
DOC000158,VEND0138,2026-08-08,Vendor Invoice
DOC000159,VEND0403,2026-08-21,Journal Entry
DOC000160,VEND0009,2026-03-13,Credit Memo
DOC000161,VEND0335,2026-05-14,Payment
DOC000162,VEND0170,2026-08-12,Journal Entry
DOC000163,VEND0416,2026-01-05,Payment
DOC000164,VEND0138,2026-08-13,Journal Entry
DOC000165,VEND0665,2026-02-05,Journal Entry
DOC000166,VEND0446,2026-01-11,Payment
DOC000167,VEND0833,2026-01-22,Vendor Invoice
DOC000168,VEND0127,2026-07-31,Payment
DOC000169,VEND0891,2026-01-31,Vendor Invoice
DOC000170,VEND0810,2026-06-21,Payment
DOC000171,VEND0414,2026-03-05,Payment
DOC000172,VEND0754,2026-08-16,Credit Memo
DOC000173,VEND0851,2026-02-01,Credit Memo
DOC000174,VEND0116,2026-04-15,Credit Memo
DOC000175,VEND0358,2026-06-16,Journal Entry
DOC000176,VEND0750,2026-04-04,Journal Entry
DOC000177,VEND0569,2026-07-30,Payment
DOC000178,VEND0855,2026-02-13,Payment
DOC000179,VEND0622,2026-02-08,Payment
DOC000180,VEND0227,2026-07-16,Payment
DOC000181,VEND0022,2026-08-01,Vendor Invoice
DOC000182,VEND0471,2026-08-15,Credit Memo
DOC000183,VEND0497,2026-08-04,Journal Entry
DOC000184,VEND0178,2026-04-28,Journal Entry
DOC000185,VEND0292,2026-02-06,Vendor Invoice
DOC000186,VEND0392,2026-04-17,Credit Memo
DOC000187,VEND0691,2026-04-20,Credit Memo
DOC000188,VEND0629,2026-06-18,Journal Entry
DOC000189,VEND0117,2026-06-04,Payment
DOC000190,VEND0538,2026-05-31,Credit Memo
DOC000191,VEND0886,2026-08-02,Credit Memo
DOC000192,VEND0522,2026-06-08,Journal Entry
DOC000193,VEND0448,2026-03-25,Vendor Invoice
DOC000194,VEND0752,2026-05-01,Journal Entry
DOC000195,VEND0306,2026-07-21,Vendor Invoice
DOC000196,VEND0462,2026-07-06,Journal Entry
DOC000197,VEND0741,2026-06-29,Journal Entry
DOC000198,VEND0353,2026-02-27,Payment
DOC000199,VEND0732,2026-08-16,Credit Memo
DOC000200,VEND0839,2026-08-16,Vendor Invoice
DOC000201,VEND0899,2026-02-07,Payment
DOC000202,VEND0086,2026-01-26,Credit Memo
DOC000203,VEND0050,2026-08-18,Credit Memo
DOC000204,VEND0272,2026-01-17,Credit Memo
DOC000205,VEND0818,2026-07-25,Payment
DOC000206,VEND0921,2026-08-01,Vendor Invoice
DOC000207,VEND0486,2026-01-04,Journal Entry
DOC000208,VEND0669,2026-05-05,Vendor Invoice
DOC000209,VEND0429,2026-08-05,Payment
DOC000210,VEND0381,2026-01-09,Journal Entry
DOC000211,VEND0706,2026-07-01,Payment
DOC000212,VEND0687,2026-05-14,Payment
DOC000213,VEND0003,2026-06-20,Vendor Invoice
DOC000214,VEND0834,2026-01-07,Journal Entry
DOC000215,VEND0658,2026-03-08,Payment
DOC000216,VEND0105,2026-06-26,Payment
DOC000217,VEND0251,2026-03-02,Payment
DOC000218,VEND0203,2026-06-04,Credit Memo
DOC000219,VEND0049,2026-05-02,Vendor Invoice
DOC000220,VEND0106,2026-02-06,Payment
DOC000221,VEND0130,2026-05-08,Vendor Invoice
DOC000222,VEND0180,2026-02-08,Vendor Invoice
DOC000223,VEND0854,2026-08-22,Vendor Invoice
DOC000224,VEND0127,2026-07-04,Payment
DOC000225,VEND0836,2026-01-15,Journal Entry
DOC000226,VEND0548,2026-02-02,Journal Entry
DOC000227,VEND0974,2026-07-19,Credit Memo
DOC000228,VEND0707,2026-05-07,Credit Memo
DOC000229,VEND0001,2026-06-30,Payment
DOC000230,VEND0844,2026-05-09,Credit Memo
DOC000231,VEND0202,2026-05-04,Vendor Invoice
DOC000232,VEND0076,2026-06-06,Vendor Invoice
DOC000233,VEND0855,2026-05-20,Journal Entry
DOC000234,VEND0693,2026-02-06,Credit Memo
DOC000235,VEND0440,2026-01-06,Journal Entry
DOC000236,VEND0059,2026-03-22,Vendor Invoice
DOC000237,VEND0894,2026-02-01,Vendor Invoice
DOC000238,VEND0208,2026-03-07,Journal Entry
DOC000239,VEND0337,2026-06-10,Payment
DOC000240,VEND0947,2026-02-10,Credit Memo
DOC000241,VEND0870,2026-03-09,Journal Entry
DOC000242,VEND0158,2026-02-08,Payment
DOC000243,VEND0070,2026-04-20,Vendor Invoice
DOC000244,VEND0411,2026-02-22,Payment
DOC000245,VEND0106,2026-05-20,Payment
DOC000246,VEND0573,2026-01-17,Credit Memo
DOC000247,VEND0090,2026-02-24,Journal Entry
DOC000248,VEND0387,2026-03-27,Payment
DOC000249,VEND0277,2026-04-24,Vendor Invoice
DOC000250,VEND0282,2026-01-13,Journal Entry
DOC000251,VEND0355,2026-04-01,Vendor Invoice
DOC000252,VEND0320,2026-03-06,Vendor Invoice
DOC000253,VEND0650,2026-05-16,Vendor Invoice
DOC000254,VEND0844,2026-06-17,Credit Memo
DOC000255,VEND0731,2026-02-19,Payment
DOC000256,VEND0797,2026-03-28,Payment
DOC000257,VEND0512,2026-05-15,Credit Memo
DOC000258,VEND0754,2026-05-29,Credit Memo
DOC000259,VEND0855,2026-08-27,Vendor Invoice
DOC000260,VEND0051,2026-01-17,Credit Memo
DOC000261,VEND0423,2026-02-15,Vendor Invoice
DOC000262,VEND0747,2026-03-25,Journal Entry
DOC000263,VEND0606,2026-08-15,Payment
DOC000264,VEND0610,2026-05-02,Credit Memo
DOC000265,VEND0919,2026-06-02,Journal Entry
DOC000266,VEND0714,2026-07-31,Vendor Invoice
DOC000267,VEND0584,2026-07-16,Vendor Invoice
DOC000268,VEND0489,2026-07-02,Credit Memo
DOC000269,VEND0317,2026-04-28,Vendor Invoice
DOC000270,VEND0499,2026-07-02,Payment
DOC000271,VEND0812,2026-08-23,Vendor Invoice
DOC000272,VEND0669,2026-07-07,Journal Entry
DOC000273,VEND0522,2026-08-22,Credit Memo
DOC000274,VEND0840,2026-08-30,Payment
DOC000275,VEND0940,2026-08-12,Credit Memo
DOC000276,VEND0507,2026-07-16,Journal Entry
DOC000277,VEND0898,2026-01-26,Payment
DOC000278,VEND0854,2026-05-10,Credit Memo
DOC000279,VEND0954,2026-02-06,Payment
DOC000280,VEND0024,2026-02-28,Payment
DOC000281,VEND0156,2026-05-14,Payment
DOC000282,VEND0916,2026-04-18,Vendor Invoice
DOC000283,VEND0272,2026-08-16,Journal Entry
DOC000284,VEND0000,2026-03-10,Credit Memo
DOC000285,VEND0862,2026-03-07,Credit Memo
DOC000286,VEND0898,2026-06-11,Payment
DOC000287,VEND0773,2026-05-08,Payment
DOC000288,VEND0126,2026-02-10,Vendor Invoice
DOC000289,VEND0995,2026-02-25,Vendor Invoice
DOC000290,VEND0792,2026-02-21,Credit Memo
DOC000291,VEND0477,2026-08-28,Journal Entry
DOC000292,VEND0985,2026-05-26,Journal Entry
DOC000293,VEND0455,2026-01-25,Vendor Invoice
DOC000294,VEND0863,2026-01-19,Vendor Invoice
DOC000295,VEND0313,2026-08-11,Payment
DOC000296,VEND0636,2026-07-18,Payment
DOC000297,VEND0142,2026-07-16,Vendor Invoice
DOC000298,VEND0932,2026-06-09,Journal Entry
DOC000299,VEND0040,2026-07-06,Journal Entry
DOC000300,VEND0131,2026-06-02,Journal Entry
DOC000301,VEND0017,2026-04-28,Credit Memo
DOC000302,VEND0018,2026-06-15,Payment
DOC000303,VEND0604,2026-07-24,Credit Memo
DOC000304,VEND0880,2026-07-23,Vendor Invoice
DOC000305,VEND0806,2026-07-21,Journal Entry
DOC000306,VEND0558,2026-06-13,Payment
DOC000307,VEND0169,2026-07-09,Payment
DOC000308,VEND0267,2026-06-16,Payment
DOC000309,VEND0252,2026-02-12,Vendor Invoice
DOC000310,VEND0739,2026-08-10,Credit Memo
DOC000311,VEND0558,2026-06-08,Payment
DOC000312,VEND0511,2026-04-13,Vendor Invoice
DOC000313,VEND0880,2026-05-30,Payment
DOC000314,VEND0718,2026-07-19,Credit Memo
DOC000315,VEND0205,2026-05-26,Vendor Invoice
DOC000316,VEND0533,2026-07-11,Vendor Invoice
DOC000317,VEND0887,2026-03-26,Payment
DOC000318,VEND0268,2026-04-11,Credit Memo
DOC000319,VEND0257,2026-06-30,Payment
DOC000320,VEND0393,2026-06-15,Payment
DOC000321,VEND0384,2026-06-17,Vendor Invoice
DOC000322,VEND0685,2026-04-17,Payment
DOC000323,VEND0618,2026-01-02,Vendor Invoice
DOC000324,VEND0016,2026-04-17,Vendor Invoice
DOC000325,VEND0339,2026-04-24,Payment
DOC000326,VEND0748,2026-02-13,Credit Memo
DOC000327,VEND0261,2026-04-11,Journal Entry
DOC000328,VEND0534,2026-06-14,Journal Entry
DOC000329,VEND0724,2026-04-15,Payment
DOC000330,VEND0984,2026-04-18,Credit Memo
DOC000331,VEND0569,2026-04-26,Journal Entry
DOC000332,VEND0194,2026-08-13,Journal Entry
DOC000333,VEND0626,2026-08-06,Payment
DOC000334,VEND0491,2026-07-29,Journal Entry
DOC000335,VEND0907,2026-01-29,Vendor Invoice
DOC000336,VEND0565,2026-03-27,Vendor Invoice
DOC000337,VEND0757,2026-08-25,Journal Entry
DOC000338,VEND0081,2026-08-17,Credit Memo
DOC000339,VEND0868,2026-05-31,Journal Entry
DOC000340,VEND0679,2026-01-15,Payment
DOC000341,VEND0342,2026-08-16,Vendor Invoice
DOC000342,VEND0347,2026-02-14,Credit Memo
DOC000343,VEND0865,2026-07-16,Journal Entry
DOC000344,VEND0248,2026-07-18,Vendor Invoice
DOC000345,VEND0528,2026-02-19,Journal Entry
DOC000346,VEND0959,2026-01-05,Payment
DOC000347,VEND0918,2026-02-24,Journal Entry
DOC000348,VEND0508,2026-01-17,Vendor Invoice
DOC000349,VEND0002,2026-01-28,Journal Entry
DOC000350,VEND0182,2026-01-19,Vendor Invoice
DOC000351,VEND0164,2026-02-24,Credit Memo
DOC000352,VEND0266,2026-04-15,Vendor Invoice
DOC000353,VEND0799,2026-04-08,Vendor Invoice
DOC000354,VEND0394,2026-04-13,Journal Entry
DOC000355,VEND0342,2026-04-16,Journal Entry
DOC000356,VEND0994,2026-01-22,Payment
DOC000357,VEND0902,2026-07-17,Credit Memo
DOC000358,VEND0015,2026-03-26,Journal Entry
DOC000359,VEND0183,2026-05-05,Journal Entry
DOC000360,VEND0952,2026-02-01,Credit Memo
DOC000361,VEND0023,2026-05-31,Payment
DOC000362,VEND0027,2026-01-20,Journal Entry
DOC000363,VEND0343,2026-05-29,Payment
DOC000364,VEND0739,2026-04-10,Journal Entry
DOC000365,VEND0193,2026-06-03,Credit Memo
DOC000366,VEND0581,2026-06-03,Journal Entry
DOC000367,VEND0001,2026-03-19,Payment
DOC000368,VEND0159,2026-08-03,Journal Entry
DOC000369,VEND0905,2026-03-19,Payment
DOC000370,VEND0083,2026-07-17,Credit Memo
DOC000371,VEND0715,2026-08-29,Payment
DOC000372,VEND0693,2026-04-15,Vendor Invoice
DOC000373,VEND0252,2026-05-27,Payment
DOC000374,VEND0918,2026-02-27,Payment
DOC000375,VEND0260,2026-07-19,Credit Memo
DOC000376,VEND0860,2026-03-24,Journal Entry
DOC000377,VEND0411,2026-03-13,Credit Memo
DOC000378,VEND0499,2026-03-25,Journal Entry
DOC000379,VEND0086,2026-01-24,Credit Memo
DOC000380,VEND0110,2026-08-19,Journal Entry
DOC000381,VEND0146,2026-04-05,Vendor Invoice
DOC000382,VEND0613,2026-05-08,Journal Entry
DOC000383,VEND0408,2026-03-24,Payment
DOC000384,VEND0221,2026-07-16,Credit Memo
DOC000385,VEND0565,2026-05-22,Credit Memo
DOC000386,VEND0487,2026-07-26,Credit Memo
DOC000387,VEND0821,2026-07-31,Credit Memo
DOC000388,VEND0720,2026-03-26,Credit Memo
DOC000389,VEND0447,2026-03-27,Credit Memo
DOC000390,VEND0102,2026-02-21,Credit Memo
DOC000391,VEND0632,2026-05-16,Credit Memo
DOC000392,VEND0768,2026-03-04,Vendor Invoice
DOC000393,VEND0896,2026-03-13,Credit Memo
DOC000394,VEND0371,2026-02-28,Vendor Invoice
DOC000395,VEND0194,2026-02-25,Credit Memo
DOC000396,VEND0239,2026-01-12,Journal Entry
DOC000397,VEND0030,2026-05-12,Payment
DOC000398,VEND0094,2026-04-27,Credit Memo
DOC000399,VEND0726,2026-02-18,Vendor Invoice
DOC000400,VEND0989,2026-01-17,Journal Entry
DOC000401,VEND0414,2026-01-23,Credit Memo
DOC000402,VEND0531,2026-04-04,Vendor Invoice
DOC000403,VEND0013,2026-05-25,Payment
DOC000404,VEND0129,2026-04-17,Journal Entry
DOC000405,VEND0597,2026-08-07,Credit Memo
DOC000406,VEND0147,2026-06-12,Payment
DOC000407,VEND0671,2026-05-18,Credit Memo
DOC000408,VEND0588,2026-07-17,Credit Memo
DOC000409,VEND0132,2026-05-09,Payment
DOC000410,VEND0678,2026-02-26,Payment
DOC000411,VEND0506,2026-04-16,Journal Entry
DOC000412,VEND0022,2026-03-02,Journal Entry
DOC000413,VEND0703,2026-04-12,Journal Entry
DOC000414,VEND0002,2026-02-01,Payment
DOC000415,VEND0421,2026-06-12,Vendor Invoice
DOC000416,VEND0207,2026-02-20,Payment
DOC000417,VEND0202,2026-07-25,Journal Entry
DOC000418,VEND0775,2026-01-13,Journal Entry
DOC000419,VEND0126,2026-06-16,Payment
DOC000420,VEND0375,2026-05-07,Payment
DOC000421,VEND0537,2026-01-02,Payment
DOC000422,VEND0667,2026-03-17,Journal Entry
DOC000423,VEND0465,2026-06-11,Credit Memo
DOC000424,VEND0180,2026-08-19,Vendor Invoice
DOC000425,VEND0999,2026-03-29,Payment
DOC000426,VEND0503,2026-08-03,Journal Entry
DOC000427,VEND0317,2026-01-20,Vendor Invoice
DOC000428,VEND0215,2026-08-17,Credit Memo
DOC000429,VEND0168,2026-01-22,Payment
DOC000430,VEND0465,2026-02-06,Payment
DOC000431,VEND0133,2026-04-06,Credit Memo
DOC000432,VEND0925,2026-01-31,Vendor Invoice
DOC000433,VEND0039,2026-01-11,Payment
DOC000434,VEND0884,2026-06-12,Journal Entry
DOC000435,VEND0278,2026-07-30,Journal Entry
DOC000436,VEND0689,2026-02-24,Payment
DOC000437,VEND0755,2026-03-26,Journal Entry
DOC000438,VEND0123,2026-06-17,Credit Memo
DOC000439,VEND0384,2026-07-09,Credit Memo
DOC000440,VEND0320,2026-03-06,Credit Memo
DOC000441,VEND0027,2026-07-26,Journal Entry
DOC000442,VEND0450,2026-08-07,Vendor Invoice
DOC000443,VEND0925,2026-05-12,Journal Entry
DOC000444,VEND0384,2026-04-08,Credit Memo
DOC000445,VEND0273,2026-07-24,Vendor Invoice
DOC000446,VEND0252,2026-07-09,Vendor Invoice
DOC000447,VEND0144,2026-01-08,Journal Entry
DOC000448,VEND0296,2026-01-01,Payment
DOC000449,VEND0772,2026-08-03,Vendor Invoice
DOC000450,VEND0598,2026-06-13,Payment
DOC000451,VEND0000,2026-01-19,Credit Memo
DOC000452,VEND0226,2026-04-13,Vendor Invoice
DOC000453,VEND0677,2026-03-31,Credit Memo
DOC000454,VEND0191,2026-07-12,Journal Entry
DOC000455,VEND0534,2026-03-18,Vendor Invoice
DOC000456,VEND0175,2026-01-07,Payment
DOC000457,VEND0747,2026-08-04,Credit Memo
DOC000458,VEND0929,2026-01-24,Payment
DOC000459,VEND0466,2026-08-04,Credit Memo
DOC000460,VEND0024,2026-08-17,Credit Memo
DOC000461,VEND0377,2026-03-25,Payment
DOC000462,VEND0796,2026-03-09,Journal Entry
DOC000463,VEND0461,2026-04-12,Journal Entry
DOC000464,VEND0291,2026-05-07,Journal Entry
DOC000465,VEND0966,2026-03-18,Payment
DOC000466,VEND0227,2026-05-29,Journal Entry
DOC000467,VEND0829,2026-05-14,Credit Memo
DOC000468,VEND0378,2026-08-12,Payment
DOC000469,VEND0914,2026-06-02,Payment
DOC000470,VEND0418,2026-05-28,Vendor Invoice
DOC000471,VEND0992,2026-01-28,Journal Entry
DOC000472,VEND0192,2026-03-09,Vendor Invoice
DOC000473,VEND0333,2026-05-25,Vendor Invoice
DOC000474,VEND0368,2026-01-14,Payment
DOC000475,VEND0166,2026-06-20,Vendor Invoice
DOC000476,VEND0543,2026-08-07,Vendor Invoice
DOC000477,VEND0643,2026-04-05,Payment
DOC000478,VEND0194,2026-05-15,Credit Memo
DOC000479,VEND0482,2026-03-20,Vendor Invoice
DOC000480,VEND0685,2026-05-27,Payment
DOC000481,VEND0840,2026-04-26,Credit Memo
DOC000482,VEND0024,2026-08-29,Journal Entry
DOC000483,VEND0550,2026-02-19,Credit Memo
DOC000484,VEND0249,2026-01-24,Journal Entry
DOC000485,VEND0216,2026-08-11,Payment
DOC000486,VEND0026,2026-07-26,Credit Memo
DOC000487,VEND0136,2026-07-27,Credit Memo
DOC000488,VEND0204,2026-02-07,Payment
DOC000489,VEND0645,2026-06-06,Journal Entry
DOC000490,VEND0517,2026-02-28,Payment
DOC000491,VEND0469,2026-08-30,Journal Entry
DOC000492,VEND0684,2026-04-14,Vendor Invoice
DOC000493,VEND0626,2026-04-01,Journal Entry
DOC000494,VEND0868,2026-05-09,Vendor Invoice
DOC000495,VEND0928,2026-04-27,Payment
DOC000496,VEND0654,2026-05-01,Payment
DOC000497,VEND0968,2026-05-21,Credit Memo
DOC000498,VEND0399,2026-02-02,Vendor Invoice
DOC000499,VEND0390,2026-03-05,Vendor Invoice
DOC000500,VEND0138,2026-04-04,Payment
DOC000501,VEND0602,2026-06-14,Vendor Invoice
DOC000502,VEND0711,2026-01-26,Payment
DOC000503,VEND0760,2026-08-07,Credit Memo
DOC000504,VEND0648,2026-05-20,Credit Memo
DOC000505,VEND0267,2026-06-28,Payment
DOC000506,VEND0925,2026-05-05,Vendor Invoice
DOC000507,VEND0076,2026-06-27,Credit Memo
DOC000508,VEND0868,2026-02-28,Vendor Invoice
DOC000509,VEND0817,2026-07-03,Credit Memo
DOC000510,VEND0327,2026-02-18,Credit Memo
DOC000511,VEND0820,2026-03-04,Vendor Invoice
DOC000512,VEND0842,2026-01-31,Vendor Invoice
DOC000513,VEND0796,2026-06-15,Credit Memo
DOC000514,VEND0876,2026-05-31,Vendor Invoice
DOC000515,VEND0093,2026-01-13,Journal Entry
DOC000516,VEND0424,2026-05-10,Payment
DOC000517,VEND0704,2026-05-28,Vendor Invoice
DOC000518,VEND0008,2026-02-12,Payment
DOC000519,VEND0522,2026-08-12,Vendor Invoice
DOC000520,VEND0134,2026-07-22,Credit Memo
DOC000521,VEND0916,2026-05-08,Credit Memo
DOC000522,VEND0800,2026-05-08,Journal Entry
DOC000523,VEND0605,2026-02-16,Journal Entry
DOC000524,VEND0944,2026-01-27,Credit Memo
DOC000525,VEND0339,2026-05-24,Journal Entry
DOC000526,VEND0719,2026-08-13,Credit Memo
DOC000527,VEND0247,2026-08-22,Vendor Invoice
DOC000528,VEND0102,2026-08-22,Vendor Invoice
DOC000529,VEND0490,2026-08-04,Payment
DOC000530,VEND0026,2026-06-26,Credit Memo
DOC000531,VEND0163,2026-03-06,Payment
DOC000532,VEND0116,2026-04-10,Vendor Invoice
DOC000533,VEND0363,2026-05-26,Credit Memo
DOC000534,VEND0276,2026-02-03,Journal Entry
DOC000535,VEND0333,2026-04-13,Payment
DOC000536,VEND0383,2026-04-09,Payment
DOC000537,VEND0915,2026-04-22,Journal Entry
DOC000538,VEND0308,2026-06-06,Credit Memo
DOC000539,VEND0174,2026-05-04,Credit Memo
DOC000540,VEND0730,2026-04-14,Vendor Invoice
DOC000541,VEND0209,2026-02-10,Vendor Invoice
DOC000542,VEND0193,2026-03-14,Vendor Invoice
