order_id,customer_id,order_date,order_status
SO00058,CUST0487,2026-01-06,In Progress
SO00059,CUST0820,2026-08-25,In Progress
SO00060,CUST0935,2026-01-19,In Progress
SO00061,CUST0131,2026-05-28,Open
SO00062,CUST0014,2026-05-25,Open
SO00063,CUST0170,2026-06-16,Open
SO00064,CUST0437,2026-03-01,In Progress
SO00065,CUST0222,2026-06-06,Cancel In Progress
SO00066,CUST0765,2026-01-30,In Progress
SO00067,CUST0843,2026-08-10,Cancel In Progress
SO00068,CUST0723,2026-06-18,Cancelled
SO00069,CUST0785,2026-02-08,Cancel In Progress
SO00070,CUST0546,2026-07-16,Open
SO00071,CUST0048,2026-06-05,In Progress
SO00072,CUST0944,2026-01-26,Completed
SO00073,CUST0277,2026-05-04,In Progress
SO00074,CUST0781,2026-08-13,Completed
SO00075,CUST0563,2026-08-22,Open
SO00076,CUST0546,2026-08-01,In Progress
SO00077,CUST0252,2026-04-10,Cancelled
SO00078,CUST0702,2026-04-06,In Progress
SO00079,CUST0258,2026-07-25,Cancel In Progress
SO00080,CUST0630,2026-04-28,Completed
SO00081,CUST0090,2026-04-23,Cancel In Progress
SO00082,CUST0056,2026-08-30,In Progress
SO00083,CUST0128,2026-07-08,Cancelled
SO00084,CUST0577,2026-07-03,Cancelled
SO00085,CUST0456,2026-03-21,Cancelled
SO00086,CUST0168,2026-01-24,In Progress
SO00087,CUST0190,2026-03-10,Open
SO00088,CUST0023,2026-05-20,Cancelled
SO00089,CUST0094,2026-02-04,In Progress
SO00090,CUST0078,2026-07-29,Completed
SO00091,CUST0335,2026-04-13,Cancel In Progress
SO00092,CUST0128,2026-01-29,Cancelled
SO00093,CUST0933,2026-02-01,Completed
SO00094,CUST0594,2026-03-26,Open
SO00095,CUST0788,2026-03-12,Cancel In Progress
SO00096,CUST0023,2026-02-04,Cancelled
SO00097,CUST0441,2026-02-23,In Progress
SO00098,CUST0484,2026-03-20,Open
SO00099,CUST0981,2026-03-27,Completed
SO00100,CUST0560,2026-08-07,Completed
SO00101,CUST0731,2026-08-13,Completed
SO00102,CUST0394,2026-08-14,Cancelled
SO00103,CUST0807,2026-07-24,Open
SO00104,CUST0911,2026-04-11,Open
SO00105,CUST0190,2026-04-18,Open
SO00106,CUST0974,2026-02-10,Cancel In Progress
SO00107,CUST0698,2026-08-25,Completed
SO00108,CUST0318,2026-08-21,Open
SO00109,CUST0628,2026-01-01,Open
SO00110,CUST0286,2026-04-11,Cancel In Progress
SO00111,CUST0321,2026-06-15,Cancelled
SO00112,CUST0383,2026-08-21,Open
SO00113,CUST0614,2026-04-17,Completed
SO00114,CUST0106,2026-03-27,In Progress
SO00115,CUST0024,2026-04-09,In Progress
SO00116,CUST0757,2026-07-19,Open
SO00117,CUST0887,2026-02-15,Cancel In Progress
SO00118,CUST0011,2026-01-22,Completed
SO00119,CUST0676,2026-07-05,Open
SO00120,CUST0469,2026-02-09,Cancel In Progress
SO00121,CUST0330,2026-08-05,Open
SO00122,CUST0118,2026-03-30,Completed
SO00123,CUST0563,2026-02-28,Completed
SO00124,CUST0278,2026-02-12,Cancel In Progress
SO00125,CUST0226,2026-06-14,Open
SO00126,CUST0596,2026-03-10,Cancel In Progress
SO00127,CUST0097,2026-08-06,Open
SO00128,CUST0117,2026-08-26,Completed
SO00129,CUST0249,2026-06-13,Completed
SO00130,CUST0007,2026-06-29,Open
SO00131,CUST0898,2026-01-27,Cancel In Progress
SO00132,CUST0509,2026-03-28,Open
SO00133,CUST0228,2026-04-08,Cancel In Progress
SO00134,CUST0775,2026-04-27,Cancelled
SO00135,CUST0011,2026-08-17,Open
SO00136,CUST0569,2026-08-05,In Progress
SO00137,CUST0707,2026-01-31,Completed
SO00138,CUST0116,2026-07-28,Cancelled
SO00139,CUST0929,2026-05-11,Cancel In Progress
SO00140,CUST0034,2026-07-12,Open
SO00141,CUST0660,2026-03-07,Cancel In Progress
SO00142,CUST0606,2026-03-20,Cancelled
SO00143,CUST0285,2026-06-07,Cancel In Progress
SO00144,CUST0860,2026-08-19,Cancelled
SO00145,CUST0047,2026-01-14,Completed
SO00146,CUST0817,2026-07-27,In Progress
SO00147,CUST0557,2026-03-19,Cancelled
SO00148,CUST0760,2026-07-04,Completed
SO00149,CUST0435,2026-07-30,Open
SO00150,CUST0027,2026-01-01,In Progress
SO00151,CUST0927,2026-05-19,Completed
SO00152,CUST0603,2026-01-19,Cancel In Progress
SO00153,CUST0554,2026-02-10,In Progress
SO00154,CUST0565,2026-08-20,Open
SO00155,CUST0819,2026-01-04,In Progress
SO00156,CUST0817,2026-08-23,Completed
SO00157,CUST0883,2026-02-13,Cancelled
SO00158,CUST0973,2026-07-15,Completed
SO00159,CUST0728,2026-03-31,In Progress
SO00160,CUST0438,2026-05-13,In Progress
SO00161,CUST0588,2026-01-03,Completed
SO00162,CUST0548,2026-01-26,Open
SO00163,CUST0764,2026-02-11,Cancelled
SO00164,CUST0848,2026-06-21,Cancelled
SO00165,CUST0472,2026-06-08,In Progress
SO00166,CUST0987,2026-04-07,Open
SO00167,CUST0940,2026-07-14,Cancel In Progress
SO00168,CUST0156,2026-08-15,Open
SO00169,CUST0864,2026-08-02,Cancelled
SO00170,CUST0679,2026-06-21,Cancelled
SO00171,CUST0750,2026-06-14,Completed
SO00172,CUST0558,2026-05-21,In Progress
SO00173,CUST0490,2026-04-24,Open
SO00174,CUST0182,2026-04-01,In Progress
SO00175,CUST0102,2026-06-21,Open
SO00176,CUST0640,2026-07-05,Completed
SO00177,CUST0509,2026-07-23,Cancel In Progress
SO00178,CUST0808,2026-01-30,Open
SO00179,CUST0817,2026-06-01,Open
SO00180,CUST0162,2026-04-18,Cancelled
SO00181,CUST0737,2026-08-23,In Progress
SO00182,CUST0669,2026-07-19,Completed
SO00183,CUST0167,2026-08-24,In Progress
SO00184,CUST0249,2026-06-14,Cancelled
SO00185,CUST0242,2026-06-19,Open
SO00186,CUST0775,2026-06-01,Cancelled
SO00187,CUST0839,2026-01-20,In Progress
SO00188,CUST0363,2026-08-17,Cancel In Progress
SO00189,CUST0985,2026-01-07,Open
SO00190,CUST0033,2026-07-24,Open
SO00191,CUST0619,2026-06-04,Completed
SO00192,CUST0198,2026-08-07,Cancel In Progress
SO00193,CUST0520,2026-01-27,Completed
SO00194,CUST0574,2026-04-22,Completed
SO00195,CUST0019,2026-08-06,Cancel In Progress
SO00196,CUST0300,2026-02-04,Cancel In Progress
SO00197,CUST0361,2026-07-05,Cancel In Progress
SO00198,CUST0126,2026-02-15,Cancelled
SO00199,CUST0057,2026-04-19,In Progress
SO00200,CUST0154,2026-04-02,Cancel In Progress
SO00201,CUST0675,2026-01-18,Cancel In Progress
SO00202,CUST0163,2026-02-21,Open
SO00203,CUST0558,2026-02-20,Cancel In Progress
SO00204,CUST0286,2026-06-12,Cancelled
SO00205,CUST0932,2026-02-04,In Progress
SO00206,CUST0476,2026-05-09,Cancelled
SO00207,CUST0176,2026-07-04,In Progress
SO00208,CUST0638,2026-01-18,In Progress
SO00209,CUST0863,2026-04-23,Open
SO00210,CUST0699,2026-02-21,Cancel In Progress
SO00211,CUST0455,2026-05-06,Cancel In Progress
SO00212,CUST0317,2026-03-02,Cancelled
SO00213,CUST0443,2026-04-06,In Progress
SO00214,CUST0734,2026-06-27,Open
SO00215,CUST0985,2026-03-23,Cancelled
SO00216,CUST0895,2026-02-09,Open
SO00217,CUST0163,2026-06-04,Completed
SO00218,CUST0331,2026-06-10,Open
SO00219,CUST0060,2026-08-12,In Progress
SO00220,CUST0853,2026-01-07,Completed
SO00221,CUST0102,2026-01-14,In Progress
SO00222,CUST0751,2026-04-20,Completed
SO00223,CUST0817,2026-03-22,In Progress
SO00224,CUST0014,2026-07-14,Completed
SO00225,CUST0465,2026-01-31,Cancelled
SO00226,CUST0723,2026-01-31,Cancelled
SO00227,CUST0986,2026-06-28,Cancelled
SO00228,CUST0826,2026-08-16,Cancel In Progress
SO00229,CUST0170,2026-05-25,Open
SO00230,CUST0781,2026-01-01,Open
SO00231,CUST0562,2026-07-30,Cancelled
SO00232,CUST0471,2026-05-03,Completed
SO00233,CUST0450,2026-01-09,Cancel In Progress
SO00234,CUST0012,2026-06-20,In Progress
SO00235,CUST0464,2026-01-02,In Progress
SO00236,CUST0188,2026-04-22,In Progress
SO00237,CUST0766,2026-05-08,Open
SO00238,CUST0318,2026-01-17,Completed
SO00239,CUST0365,2026-01-16,Cancel In Progress
SO00240,CUST0192,2026-04-06,In Progress
SO00241,CUST0206,2026-05-18,Cancel In Progress
SO00242,CUST0299,2026-07-25,Open
SO00243,CUST0234,2026-05-06,Cancel In Progress
SO00244,CUST0342,2026-04-15,Open
SO00245,CUST0301,2026-07-04,Cancel In Progress
SO00246,CUST0228,2026-08-29,Cancelled
SO00247,CUST0268,2026-03-18,In Progress
SO00248,CUST0728,2026-05-28,In Progress
SO00249,CUST0546,2026-07-09,In Progress
SO00250,CUST0989,2026-06-06,Cancelled
SO00251,CUST0516,2026-06-20,Cancel In Progress
SO00252,CUST0555,2026-08-18,Cancel In Progress
SO00253,CUST0195,2026-02-14,Open
SO00254,CUST0484,2026-06-29,Cancelled
SO00255,CUST0150,2026-07-30,In Progress
SO00256,CUST0701,2026-01-27,Cancel In Progress
SO00257,CUST0625,2026-06-07,Open
SO00258,CUST0257,2026-04-03,Cancelled
SO00259,CUST0147,2026-01-11,Completed
SO00260,CUST0742,2026-03-07,In Progress
SO00261,CUST0869,2026-06-07,Cancelled
SO00262,CUST0676,2026-08-03,Cancel In Progress
SO00263,CUST0505,2026-08-08,Open
SO00264,CUST0901,2026-05-29,Cancelled
SO00265,CUST0325,2026-04-14,In Progress
SO00266,CUST0364,2026-06-20,Cancel In Progress
SO00267,CUST0969,2026-02-05,Cancel In Progress
SO00268,CUST0412,2026-05-05,Open
SO00269,CUST0782,2026-06-19,Cancelled
SO00270,CUST0715,2026-08-26,Open
SO00271,CUST0223,2026-03-06,Cancel In Progress
SO00272,CUST0640,2026-04-12,Open
SO00273,CUST0397,2026-01-10,Cancelled
SO00274,CUST0114,2026-03-18,Cancel In Progress
SO00275,CUST0738,2026-04-28,Completed
SO00276,CUST0637,2026-06-29,Cancel In Progress
SO00277,CUST0049,2026-04-28,Cancel In Progress
SO00278,CUST0699,2026-05-01,Cancelled
SO00279,CUST0361,2026-01-22,Cancel In Progress
SO00280,CUST0225,2026-07-13,Cancel In Progress
SO00281,CUST0106,2026-03-20,Completed
SO00282,CUST0847,2026-08-23,In Progress
SO00283,CUST0763,2026-03-06,Cancel In Progress
SO00284,CUST0413,2026-08-06,Open
SO00285,CUST0821,2026-05-04,Open
SO00286,CUST0938,2026-06-30,Cancelled
SO00287,CUST0791,2026-01-03,Cancelled
SO00288,CUST0096,2026-02-26,In Progress
SO00289,CUST0507,2026-08-28,Open
SO00290,CUST0115,2026-04-21,Open
SO00291,CUST0951,2026-05-02,Cancel In Progress
SO00292,CUST0828,2026-07-04,In Progress
SO00293,CUST0306,2026-08-06,Open
SO00294,CUST0394,2026-08-29,In Progress
SO00295,CUST0941,2026-05-08,Cancel In Progress
SO00296,CUST0451,2026-04-11,Open
SO00297,CUST0516,2026-03-12,Completed
SO00298,CUST0168,2026-02-24,Completed
SO00299,CUST0204,2026-05-29,Cancelled
SO00300,CUST0949,2026-07-29,Open
SO00301,CUST0743,2026-06-17,Cancel In Progress
SO00302,CUST0935,2026-01-19,Open
SO00303,CUST0982,2026-03-12,In Progress
SO00304,CUST0372,2026-01-30,Completed
SO00305,CUST0185,2026-08-30,In Progress
SO00306,CUST0938,2026-02-10,Open
SO00307,CUST0676,2026-06-08,Cancel In Progress
SO00308,CUST0924,2026-07-07,Cancelled
SO00309,CUST0385,2026-07-03,Cancelled
SO00310,CUST0426,2026-07-09,Open
SO00311,CUST0873,2026-08-07,Cancel In Progress
SO00312,CUST0998,2026-07-23,Cancelled
SO00313,CUST0285,2026-02-12,In Progress
SO00314,CUST0520,2026-06-26,In Progress
SO00315,CUST0405,2026-05-28,Cancelled
SO00316,CUST0872,2026-08-13,Cancel In Progress
SO00317,CUST0637,2026-02-14,Cancel In Progress
SO00318,CUST0580,2026-08-28,Completed
SO00319,CUST0586,2026-05-20,Completed
SO00320,CUST0307,2026-03-17,Open
SO00321,CUST0846,2026-01-28,In Progress
SO00322,CUST0336,2026-07-29,Completed
SO00323,CUST0136,2026-01-02,Cancel In Progress
SO00324,CUST0650,2026-02-14,Completed
SO00325,CUST0249,2026-03-16,Completed
SO00326,CUST0772,2026-04-01,Completed
SO00327,CUST0924,2026-02-26,Cancelled
SO00328,CUST0091,2026-02-26,Cancelled
SO00329,CUST0990,2026-05-13,Open
SO00330,CUST0982,2026-04-26,Cancelled
SO00331,CUST0442,2026-01-02,Cancel In Progress
SO00332,CUST0026,2026-04-03,Open
SO00333,CUST0113,2026-05-12,Cancel In Progress
SO00334,CUST0415,2026-03-22,In Progress
SO00335,CUST0226,2026-04-15,In Progress
SO00336,CUST0081,2026-05-02,Cancelled
SO00337,CUST0816,2026-02-09,Completed
SO00338,CUST0591,2026-06-03,Cancelled
SO00339,CUST0955,2026-03-11,Open
SO00340,CUST0926,2026-08-08,Cancel In Progress
SO00341,CUST0289,2026-07-02,Open
SO00342,CUST0134,2026-06-18,Cancelled
SO00343,CUST0766,2026-01-01,Open
SO00344,CUST0653,2026-08-12,In Progress
SO00345,CUST0966,2026-08-12,Cancel In Progress
SO00346,CUST0769,2026-05-22,Cancel In Progress
SO00347,CUST0209,2026-06-05,Cancelled
SO00348,CUST9002,2026-03-04,In Progress
SO00349,CUST0192,2026-01-12,Cancel In Progress
SO00350,CUST0561,2026-04-27,In Progress
SO00351,CUST0252,2026-01-14,Cancelled
SO00352,CUST0799,2026-04-17,In Progress
SO00353,CUST0453,2026-05-20,Completed
SO00354,CUST0822,2026-03-04,In Progress
SO00355,CUST0885,2026-02-17,Cancelled
SO00356,CUST0650,2026-06-23,In Progress
SO00357,CUST0153,2026-06-14,In Progress
SO00358,CUST0640,2026-07-22,In Progress
SO00359,CUST0622,2026-03-01,Completed
SO00360,CUST0028,2026-07-03,Cancelled
SO00361,CUST0844,2026-08-07,Cancelled
SO00362,CUST0035,2026-06-22,In Progress
SO00363,CUST0006,2026-05-01,Cancel In Progress
SO00364,CUST0471,2026-05-14,Cancelled
SO00365,CUST0201,2026-07-15,In Progress
SO00366,CUST0230,2026-03-04,Open
SO00367,CUST0857,2026-03-02,Cancelled
SO00368,CUST0209,2026-07-22,Cancel In Progress
SO00369,CUST0107,2026-05-03,Cancelled
SO00370,CUST0156,2026-06-10,Cancel In Progress
SO00371,CUST0648,2026-06-22,Cancel In Progress
SO00372,CUST0178,2026-01-11,Completed
SO00373,CUST0376,2026-04-27,Cancelled
SO00374,CUST0409,2026-05-21,Cancelled
SO00375,CUST0032,2026-02-14,Cancelled
SO00376,CUST0271,2026-07-23,Open
SO00377,CUST0134,2026-03-22,Completed
SO00378,CUST0077,2026-05-30,In Progress
SO00379,CUST0440,2026-01-22,In Progress
SO00380,CUST0572,2026-01-31,In Progress
SO00381,CUST0016,2026-08-08,Completed
SO00382,CUST0679,2026-01-15,Completed
SO00383,CUST0869,2026-06-09,Cancel In Progress
SO00384,CUST0309,2026-08-01,Cancel In Progress
SO00385,CUST0630,2026-01-04,Cancelled
SO00386,CUST0419,2026-08-07,Completed
SO00387,CUST0275,2026-02-09,Completed
SO00388,CUST0670,2026-07-13,Completed
SO00389,CUST0065,2026-01-29,Open
SO00390,CUST0002,2026-03-21,Open
SO00391,CUST0552,2026-03-31,Completed
SO00392,CUST0621,2026-07-04,Completed
SO00393,CUST0655,2026-03-02,Cancel In Progress
SO00394,CUST0261,2026-08-15,Completed
SO00395,CUST0719,2026-06-02,Cancel In Progress
SO00396,CUST0648,2026-02-02,Open
SO00397,CUST0425,2026-05-16,Cancelled
SO00398,CUST0129,2026-01-05,In Progress
SO00399,CUST0428,2026-04-24,Open
SO00400,CUST0291,2026-05-28,Open
SO00401,CUST0678,2026-01-18,In Progress
SO00402,CUST0726,2026-08-26,Completed
SO00403,CUST0996,2026-01-08,Cancelled
SO00404,CUST0006,2026-03-29,Cancel In Progress
SO00405,CUST0825,2026-08-17,Completed
SO00406,CUST0519,2026-05-01,Completed
SO00407,CUST0884,2026-04-01,Cancelled
SO00408,CUST0244,2026-06-22,In Progress
SO00409,CUST0838,2026-07-01,Completed
SO00410,CUST0456,2026-06-10,Open
SO00411,CUST0917,2026-06-13,Cancel In Progress
SO00412,CUST0919,2026-05-26,Cancelled
SO00413,CUST0617,2026-07-24,Completed
SO00414,CUST0814,2026-02-10,In Progress
SO00415,CUST0852,2026-05-01,In Progress
SO00416,CUST0689,2026-04-20,Cancelled
SO00417,CUST0753,2026-05-08,Completed
SO00418,CUST0394,2026-04-24,Open
SO00419,CUST0262,2026-01-02,Cancelled
SO00420,CUST0279,2026-08-07,Open
SO00421,CUST0751,2026-06-08,In Progress
SO00422,CUST0036,2026-08-12,Completed
SO00423,CUST0776,2026-03-15,Completed
SO00424,CUST0141,2026-06-11,Open
SO00425,CUST0703,2026-07-04,Cancelled
SO00426,CUST0793,2026-07-29,In Progress
SO00427,CUST0720,2026-02-13,Open
SO00428,CUST0663,2026-04-01,Cancel In Progress
SO00429,CUST0181,2026-08-13,In Progress
SO00430,CUST0835,2026-02-05,Cancel In Progress
SO00431,CUST0930,2026-02-16,Completed
SO00432,CUST0660,2026-02-23,Open
SO00433,CUST0732,2026-04-21,Open
SO00434,CUST0779,2026-05-06,Cancel In Progress
SO00435,CUST0947,2026-07-11,In Progress
SO00436,CUST0020,2026-04-28,Open
SO00437,CUST0590,2026-04-09,In Progress
SO00438,CUST0309,2026-08-03,Completed
SO00439,CUST0079,2026-08-05,Completed
SO00440,CUST0828,2026-01-29,Open
SO00441,CUST0401,2026-05-12,Completed
SO00442,CUST0077,2026-05-25,Cancelled
SO00443,CUST0653,2026-07-03,Open
SO00444,CUST0076,2026-06-25,Cancelled
SO00445,CUST0208,2026-02-13,Completed
SO00446,CUST0548,2026-05-08,Cancel In Progress
SO00447,CUST0795,2026-07-24,Completed
SO00448,CUST0818,2026-05-13,Completed
SO00449,CUST0917,2026-05-23,Cancelled
SO00450,CUST0095,2026-03-17,Completed
SO00451,CUST0804,2026-06-29,Cancelled
SO00452,CUST0209,2026-03-10,Completed
SO00453,CUST0898,2026-06-18,Completed
SO00454,CUST0832,2026-02-14,In Progress
SO00455,CUST0521,2026-06-10,Open
SO00456,CUST0309,2026-06-20,Cancel In Progress
SO00457,CUST0196,2026-06-13,Open
SO00458,CUST0731,2026-04-14,In Progress
SO00459,CUST0528,2026-07-02,Cancel In Progress
SO00460,CUST0736,2026-01-26,Cancel In Progress
SO00461,CUST0328,2026-04-05,Completed
SO00462,CUST0970,2026-05-06,Open
SO00463,CUST0421,2026-04-26,Cancelled
SO00464,CUST0356,2026-01-18,Cancelled
SO00465,CUST0981,2026-01-18,Completed
SO00466,CUST0559,2026-08-09,Completed
SO00467,CUST0609,2026-07-14,In Progress
SO00468,CUST0201,2026-05-31,Cancelled
SO00469,CUST0298,2026-04-22,Open
SO00470,CUST0357,2026-04-13,Cancel In Progress
SO00471,CUST0247,2026-02-15,In Progress
SO00472,CUST0590,2026-08-10,Cancel In Progress
SO00473,CUST0340,2026-03-16,Open
SO00474,CUST0465,2026-04-17,Completed
SO00475,CUST0838,2026-07-20,Completed
SO00476,CUST0720,2026-06-19,Completed
SO00477,CUST0685,2026-04-30,In Progress
SO00478,CUST0268,2026-06-07,Cancelled
SO00479,CUST0440,2026-02-04,Cancelled
SO00480,CUST0509,2026-06-11,Open
SO00481,CUST0023,2026-01-14,Completed
SO00482,CUST0811,2026-02-10,Open
SO00483,CUST0216,2026-03-31,Cancelled
SO00484,CUST0857,2026-02-10,Cancel In Progress
SO00485,CUST0810,2026-06-19,Completed
SO00486,CUST0130,2026-07-04,Completed
SO00487,CUST0707,2026-06-18,Completed
SO00488,CUST0198,2026-02-04,Completed
SO00489,CUST0657,2026-01-20,Completed
SO00490,CUST0080,2026-03-22,Cancel In Progress
SO00491,CUST0564,2026-01-11,Completed
SO00492,CUST0091,2026-03-15,Cancel In Progress
SO00493,CUST0832,2026-02-12,Cancel In Progress
SO00494,CUST0782,2026-02-15,Open
SO00495,CUST0777,2026-05-09,Cancel In Progress
SO00496,CUST0700,2026-07-03,Completed
SO00497,CUST0027,2026-02-06,Completed
SO00498,CUST0857,2026-05-05,Cancelled
SO00499,CUST0170,2026-01-17,Open
SO00500,CUST0256,2026-07-13,Cancel In Progress
SO00501,CUST0889,2026-04-29,Open
SO00502,CUST0997,2026-03-28,Open
SO00503,CUST0794,2026-06-08,Completed
SO00504,CUST0034,2026-05-23,In Progress
SO00505,CUST0208,2026-04-14,Completed
SO00506,CUST0946,2026-01-25,Completed
SO00507,CUST0498,2026-01-13,Completed
SO00508,CUST0906,2026-05-17,Cancelled
SO00509,CUST0078,2026-05-27,Open
SO00510,CUST0119,2026-02-26,Open
SO00511,CUST0009,2026-02-19,Open
SO00512,CUST0496,2026-05-13,Open
SO00513,CUST0872,2026-04-26,Cancel In Progress
SO00514,CUST0406,2026-01-18,Cancelled
SO00515,CUST0589,2026-07-28,Cancelled
SO00516,CUST0331,2026-02-15,Cancel In Progress
SO00517,CUST0335,2026-03-17,Cancel In Progress
SO00518,CUST0380,2026-03-22,Cancelled
SO00519,CUST0157,2026-08-20,Open
SO00520,CUST0862,2026-02-11,Open
SO00521,CUST0276,2026-01-27,Cancel In Progress
SO00522,CUST0670,2026-04-11,In Progress
SO00523,CUST0147,2026-04-28,In Progress
SO00524,CUST0122,2026-03-02,Cancelled
SO00525,CUST0293,2026-08-06,In Progress
SO00526,CUST0955,2026-06-16,In Progress
SO00527,CUST0651,2026-05-10,Open
SO00528,CUST0811,2026-03-09,In Progress
SO00529,CUST0132,2026-07-22,Open
SO00530,CUST0448,2026-01-02,Cancel In Progress
SO00531,CUST0731,2026-01-26,Cancelled
SO00532,CUST0840,2026-02-07,Open
SO00533,CUST0527,2026-03-03,Cancel In Progress
SO00534,CUST0390,2026-08-16,Open
SO00535,CUST0804,2026-03-09,Open
SO00536,CUST0097,2026-03-31,In Progress
SO00537,CUST0147,2026-06-10,Cancel In Progress
SO00538,CUST0337,2026-01-14,Cancel In Progress
SO00539,CUST0245,2026-02-01,Cancel In Progress
SO00540,CUST0257,2026-06-29,Cancel In Progress
SO00541,CUST0099,2026-03-19,Cancel In Progress
SO00542,CUST0794,2026-06-15,Cancel In Progress
SO00543,CUST0521,2026-05-09,Completed
SO00544,CUST0191,2026-05-16,Completed
SO00545,CUST0083,2026-04-27,Cancel In Progress
SO00546,CUST0955,2026-06-15,Open
SO00547,CUST0835,2026-06-06,Completed
SO00548,CUST0342,2026-03-13,Cancel In Progress
SO00549,CUST0792,2026-04-14,In Progress
SO00550,CUST0184,2026-06-10,Open
SO00551,CUST0734,2026-01-20,In Progress
SO00552,CUST0339,2026-06-29,In Progress
SO00553,CUST0537,2026-01-26,In Progress
SO00554,CUST0666,2026-07-09,In Progress
SO00555,CUST0044,2026-04-27,Cancelled
SO00556,CUST0730,2026-06-18,In Progress
SO00557,CUST0039,2026-08-24,Cancel In Progress
SO00558,CUST0302,2026-02-24,In Progress
SO00559,CUST0348,2026-01-22,Open
SO00560,CUST0905,2026-08-06,In Progress
SO00561,CUST0527,2026-05-13,Cancel In Progress
SO00562,CUST0691,2026-07-07,Open
SO00563,CUST0547,2026-01-03,Cancelled
SO00564,CUST0832,2026-06-22,Cancel In Progress
SO00565,CUST0329,2026-03-26,Cancel In Progress
SO00566,CUST0052,2026-07-02,Cancel In Progress
SO00567,CUST0936,2026-05-28,In Progress
SO00568,CUST0983,2026-08-22,Completed
SO00569,CUST0919,2026-04-16,In Progress
SO00570,CUST0961,2026-05-31,In Progress
SO00571,CUST0276,2026-06-26,Cancelled
SO00572,CUST0009,2026-08-22,In Progress
SO00573,CUST0381,2026-04-08,Cancel In Progress
SO00574,CUST0769,2026-04-19,Completed
SO00575,CUST0482,2026-08-18,Cancelled
SO00576,CUST0101,2026-06-24,Completed
SO00577,CUST0670,2026-03-05,Cancelled
SO00578,CUST0291,2026-06-02,Cancelled
SO00579,CUST0772,2026-08-30,In Progress
SO00580,CUST0951,2026-04-30,Open
SO00581,CUST0714,2026-04-26,Completed
SO00582,CUST0589,2026-08-30,Completed
SO00583,CUST0890,2026-06-05,Cancelled
SO00584,CUST0561,2026-07-19,Cancel In Progress
SO00585,CUST0782,2026-02-09,Cancel In Progress
SO00586,CUST0836,2026-08-21,Open
SO00587,CUST0587,2026-03-13,In Progress
SO00588,CUST0881,2026-03-25,Cancelled
SO00589,CUST0541,2026-03-07,In Progress
SO00590,CUST9003,2026-08-29,Open
SO00591,CUST0489,2026-02-17,Open
SO00592,CUST0436,2026-06-01,In Progress
SO00593,CUST0058,2026-05-22,Cancelled
SO00594,CUST0530,2026-02-23,Cancel In Progress
SO00595,CUST0318,2026-07-13,In Progress
SO00596,CUST0643,2026-08-24,Cancel In Progress
