order_id,material_id,item_number,quantity,amount
SO00098,MAT0178,40,223,92078.93
SO00098,MAT0032,50,882,280079.1
SO00099,MAT0187,10,114,8500.98
SO00099,MAT0027,20,875,424033.75
SO00099,MAT0079,30,391,66032.08
SO00100,MAT0145,10,478,209220.6
SO00101,MAT0120,10,233,11074.49
SO00101,MAT0088,20,101,48053.78
SO00101,MAT0041,30,768,295933.44
SO00101,MAT0153,40,942,212609.4
SO00102,MAT0096,10,92,29996.6
SO00103,MAT0176,10,680,293855.2
SO00103,MAT0029,20,822,32329.26
SO00103,MAT0067,30,953,462405.13
SO00104,MAT0061,10,123,53744.85
SO00105,MAT0165,10,26,5090.8
SO00105,MAT0124,20,623,96994.87
SO00105,MAT0076,30,993,189921.18
SO00105,MAT0164,40,476,77635.6
SO00106,MAT0133,10,14,6411.16
SO00106,MAT0148,20,680,318328.4
SO00106,MAT0039,30,962,66522.3
SO00106,MAT0178,40,683,282017.53
SO00106,MAT0132,50,548,41434.28
SO00107,MAT0129,10,363,165513.48
SO00107,MAT0106,20,823,309801.89
SO00107,MAT0023,30,119,23894.01
SO00107,MAT0087,40,547,88083.41
SO00108,MAT0014,10,766,230443.44
SO00108,MAT0002,20,63,27117.72
SO00108,MAT0053,30,4,1066.56
SO00109,MAT0192,10,589,87366.37
SO00110,MAT0148,10,132,61793.16
SO00110,MAT0079,20,721,121762.48
SO00111,MAT0184,10,200,73984.0
SO00111,MAT0071,20,54,5601.42
SO00111,MAT0106,30,991,373042.13
SO00112,MAT0042,10,918,365923.98
SO00112,MAT0004,20,211,91709.04
SO00113,MAT0000,10,504,238845.6
SO00113,MAT0013,20,465,214341.75
SO00113,MAT0045,30,252,81758.88
SO00114,MAT0022,10,456,16753.44
SO00114,MAT0130,20,383,46465.56
SO00114,MAT0187,30,48,3579.36
SO00114,MAT0192,40,808,119850.64
SO00115,MAT0092,10,41,14402.48
SO00115,MAT0091,20,162,2261.52
SO00116,MAT0182,10,919,232001.55
SO00116,MAT0094,20,564,158055.36
SO00116,MAT0179,30,638,75679.56
SO00116,MAT0184,40,877,324419.84
SO00116,MAT0114,50,825,68260.5
SO00117,MAT0080,10,288,118889.28
SO00117,MAT0040,20,199,40783.06
SO00117,MAT0034,30,165,80574.45
SO00117,MAT0149,40,664,205886.48
SO00117,MAT0092,50,419,147186.32
SO00118,MAT0017,10,733,80417.43
SO00118,MAT0060,20,828,125864.28
SO00118,MAT0049,30,748,319605.44
SO00118,MAT0151,40,884,272236.64
SO00119,MAT0034,10,245,119640.85
SO00119,MAT0198,20,86,26370.18
SO00119,MAT0192,30,551,81729.83
SO00119,MAT0124,40,834,129845.46
SO00120,MAT0049,10,735,314050.8
SO00120,MAT0130,20,254,30815.28
SO00120,MAT0118,30,308,65967.44
SO00120,MAT0064,40,444,216578.76
SO00120,MAT0111,50,254,5171.44
SO00121,MAT0159,10,365,164366.8
SO00121,MAT0196,20,890,360387.7
SO00121,MAT0046,30,333,106160.4
SO00122,MAT0129,10,217,98943.32
SO00122,MAT0091,20,13,181.48
SO00122,MAT0035,30,145,10235.55
SO00122,MAT0194,40,291,143323.32
SO00123,MAT0106,10,243,91472.49
SO00123,MAT0047,20,798,89136.6
SO00123,MAT0112,30,110,27347.1
SO00124,MAT0192,10,34,5043.22
SO00124,MAT0023,20,635,127501.65
SO00124,MAT0018,30,686,321644.82
SO00124,MAT0042,40,27,10762.47
SO00124,MAT0102,50,595,215473.3
SO00125,MAT0198,10,316,96895.08
SO00126,MAT0186,10,241,115971.61
SO00127,MAT0162,10,920,91374.4
SO00127,MAT0073,20,605,113564.55
SO00127,MAT0181,30,783,340651.98
SO00128,MAT0126,10,681,162867.96
SO00128,MAT0169,20,999,149350.5
SO00128,MAT0084,30,469,145132.05
SO00128,MAT0066,40,286,44101.2
SO00128,MAT0115,50,145,45908.45
SO00129,MAT0038,10,875,191406.25
SO00129,MAT0050,20,444,198037.32
SO00130,MAT0127,10,396,183304.44
SO00130,MAT0114,20,629,52043.46
SO00131,MAT0064,10,376,183409.04
SO00131,MAT0151,20,941,289790.36
SO00131,MAT0005,30,643,228972.3
SO00132,MAT0122,10,538,189376.0
SO00132,MAT0053,20,813,216778.32
SO00132,MAT0107,30,283,775.42
SO00132,MAT0062,40,297,69581.16
SO00133,MAT0001,10,209,67295.91
SO00133,MAT0079,20,629,106225.52
SO00133,MAT0023,30,72,14456.88
SO00133,MAT0047,40,808,90253.6
SO00134,MAT0113,10,124,620.0
SO00134,MAT0007,20,119,12951.96
SO00135,MAT0005,10,264,94010.4
SO00135,MAT0025,20,810,17325.9
SO00135,MAT0197,30,700,232148.0
SO00136,MAT0080,10,107,44170.67
SO00136,MAT0083,20,78,7605.0
SO00136,MAT0008,30,429,76168.95
SO00137,MAT0155,10,88,42843.68
SO00137,MAT0083,20,771,75172.5
SO00137,MAT0091,30,753,10511.88
SO00138,MAT0154,10,32,4829.44
SO00138,MAT0181,20,533,231886.98
SO00138,MAT0166,30,266,104548.64
SO00139,MAT0052,10,380,34709.2
SO00140,MAT0029,10,954,37520.82
SO00141,MAT0095,10,613,21179.15
SO00141,MAT0103,20,518,230048.98
SO00142,MAT0137,10,825,89075.25
SO00142,MAT0015,20,610,137640.4
SO00142,MAT0120,30,449,21340.97
SO00142,MAT0118,40,366,78389.88
SO00142,MAT0127,50,687,318005.43
SO00143,MAT0023,10,130,26102.7
SO00143,MAT0061,20,503,219785.85
SO00143,MAT0107,30,490,1342.6
SO00144,MAT0013,10,9,4148.55
SO00145,MAT0042,10,122,48630.42
SO00145,MAT0062,20,58,13588.24
SO00145,MAT0176,30,66,28521.24
SO00146,MAT0151,10,552,169993.92
SO00146,MAT0135,20,913,239023.4
SO00147,MAT0179,10,579,68680.98
SO00147,MAT0047,20,858,95838.6
SO00147,MAT0019,30,58,4716.56
SO00147,MAT0105,40,707,244077.61
SO00148,MAT0127,10,752,348093.28
SO00148,MAT0153,20,443,99985.1
SO00149,MAT0108,10,718,111857.22
SO00149,MAT0011,20,395,5992.15
SO00149,MAT0010,30,105,23793.0
SO00150,MAT0026,10,556,82738.36
SO00150,MAT0131,20,306,62748.36
SO00150,MAT0100,30,749,134303.19
SO00150,MAT0143,40,306,141736.14
SO00151,MAT0085,10,128,9123.84
SO00151,MAT0018,20,657,308047.59
SO00151,MAT0133,30,200,91588.0
SO00152,MAT0003,10,142,9068.12
SO00152,MAT0092,20,972,341444.16
SO00152,MAT0119,30,203,21924.0
SO00152,MAT0082,40,822,240656.94
SO00153,MAT0182,10,99,24992.55
SO00153,MAT0168,20,189,67151.7
SO00154,MAT0177,10,339,97821.84
SO00155,MAT0199,10,640,34726.4
SO00155,MAT0149,20,894,277202.58
SO00155,MAT0129,30,169,77057.24
SO00155,MAT0025,40,401,8577.39
SO00156,MAT0022,10,714,26232.36
SO00156,MAT0015,20,581,131096.84
SO00156,MAT0129,30,198,90280.08
SO00156,MAT0127,40,166,76839.74
SO00157,MAT0171,10,853,209411.5
SO00157,MAT0036,20,463,167735.64
SO00157,MAT0122,30,697,245344.0
SO00157,MAT0160,40,735,318534.3
SO00157,MAT0055,50,828,11078.64
SO00158,MAT0021,10,701,178439.55
SO00158,MAT0198,20,688,210961.44
SO00158,MAT0074,30,985,181407.45
SO00158,MAT0197,40,545,180743.8
SO00159,MAT0059,10,953,297640.96
SO00160,MAT0068,10,228,105928.8
SO00160,MAT0139,20,416,172261.44
SO00160,MAT0024,30,608,237989.44
SO00161,MAT0064,10,185,90241.15
SO00161,MAT0072,20,60,21712.2
SO00161,MAT0140,30,579,63423.66
SO00161,MAT0068,40,163,75729.8
SO00162,MAT0036,10,39,14128.92
SO00162,MAT0075,20,665,61186.65
SO00163,MAT0194,10,110,54177.2
SO00163,MAT0105,20,544,187805.12
SO00163,MAT0133,30,274,125475.56
SO00163,MAT0158,40,577,98182.32
SO00164,MAT0098,10,690,165910.5
SO00164,MAT0112,20,389,96709.29
SO00164,MAT0107,30,102,279.48
SO00164,MAT0139,40,179,74122.11
SO00165,MAT0198,10,596,182751.48
SO00165,MAT0187,20,667,49738.19
SO00165,MAT0100,30,513,91986.03
SO00166,MAT0137,10,369,39840.93
SO00167,MAT0009,10,192,5656.32
SO00168,MAT0108,10,317,49385.43
SO00169,MAT0152,10,790,261221.4
SO00169,MAT0193,20,354,76265.76
SO00169,MAT0012,30,597,151029.06
SO00169,MAT0039,40,47,3250.05
SO00170,MAT0006,10,940,31913.0
SO00170,MAT0029,20,516,20294.28
SO00170,MAT0048,30,445,92849.25
SO00170,MAT0095,40,841,29056.55
SO00171,MAT0197,10,626,207606.64
SO00171,MAT0102,20,54,19555.56
SO00171,MAT0145,30,381,166763.7
SO00172,MAT0106,10,128,48183.04
SO00172,MAT0102,20,278,100674.92
SO00172,MAT0033,30,506,198301.4
SO00172,MAT0025,40,520,11122.8
SO00173,MAT0170,10,956,275108.12
SO00173,MAT0016,20,833,72654.26
SO00173,MAT0039,30,125,8643.75
SO00174,MAT0147,10,269,72925.9
SO00174,MAT0042,20,691,275439.51
SO00174,MAT0156,30,394,174486.84
SO00175,MAT0107,10,413,1131.62
SO00175,MAT0052,20,992,90609.28
SO00175,MAT0196,30,878,355528.54
SO00175,MAT0132,40,264,19961.04
SO00176,MAT0049,10,151,64519.28
SO00177,MAT0005,10,914,325475.4
SO00178,MAT0054,10,640,119712.0
SO00179,MAT0065,10,350,76083.0
SO00179,MAT0023,20,873,175289.67
SO00180,MAT0049,10,84,35891.52
SO00180,MAT0182,20,858,216602.1
SO00180,MAT0019,30,166,13499.12
SO00180,MAT0174,40,939,170099.85
SO00181,MAT0052,10,827,75538.18
SO00181,MAT0098,20,633,152204.85
SO00182,MAT0026,10,866,128869.46
SO00183,MAT0094,10,552,154692.48
SO00183,MAT0141,20,174,71801.1
SO00184,MAT0130,10,903,109551.96
SO00184,MAT0094,20,848,237643.52
SO00184,MAT0139,30,358,148244.22
SO00184,MAT0163,40,162,15929.46
SO00184,MAT0129,50,398,181472.08
SO00185,MAT0131,10,232,47573.92
SO00185,MAT0116,20,787,235619.93
SO00185,MAT0162,30,701,69623.32
SO00185,MAT0149,40,193,59843.51
SO00186,MAT0161,10,659,281439.13
SO00186,MAT0022,20,940,34535.6
SO00186,MAT0178,30,42,17342.22
SO00187,MAT0038,10,118,25812.5
SO00187,MAT0083,20,826,80535.0
SO00187,MAT0179,30,365,43296.3
SO00187,MAT0093,40,423,53699.85
SO00188,MAT0183,10,201,57148.32
SO00188,MAT0033,20,606,237491.4
SO00188,MAT0040,30,663,135875.22
SO00189,MAT0098,10,50,12022.5
SO00189,MAT0084,20,917,283765.65
SO00189,MAT0059,30,178,55592.96
SO00189,MAT0062,40,350,81998.0
SO00190,MAT0149,10,51,15813.57
SO00190,MAT0172,20,861,123794.58
SO00191,MAT0134,10,907,265959.61
SO00191,MAT0049,20,800,341824.0
SO00192,MAT0179,10,50,5931.0
SO00193,MAT0094,10,920,257820.8
SO00193,MAT0189,20,174,2606.52
SO00193,MAT0020,30,59,27413.17
SO00194,MAT0079,10,386,65187.68
SO00194,MAT0007,20,259,28189.56
SO00194,MAT0119,30,674,72792.0
SO00194,MAT0154,40,618,93268.56
SO00194,MAT0016,50,650,56693.0
SO00195,MAT0094,10,17,4764.08
SO00195,MAT0198,20,52,15944.76
SO00195,MAT0143,30,770,356656.3
SO00196,MAT0038,10,837,183093.75
SO00196,MAT0191,20,238,53035.92
SO00196,MAT0094,30,795,222790.8
SO00196,MAT0094,40,249,69779.76
SO00196,MAT0097,50,627,7674.48
SO00197,MAT0031,10,86,7500.92
SO00197,MAT0195,20,392,25186.0
SO00197,MAT0115,30,100,31661.0
SO00197,MAT0102,40,786,284642.04
SO00197,MAT0061,50,657,287076.15
SO00198,MAT0136,10,765,164130.75
SO00198,MAT0107,20,597,1635.78
SO00198,MAT0014,30,634,190732.56
SO00198,MAT0054,40,414,77438.7
SO00199,MAT0082,10,974,285157.98
SO00199,MAT0160,20,433,187653.54
SO00200,MAT0039,10,329,22750.35
SO00200,MAT0125,20,581,108519.18
SO00201,MAT0044,10,92,12466.0
SO00201,MAT0140,20,351,38448.54
SO00201,MAT0168,30,1000,355300.0
SO00201,MAT0032,40,446,141627.3
SO00201,MAT0143,50,159,73647.21
SO00202,MAT0051,10,916,352751.6
SO00202,MAT0167,20,869,387930.29
SO00202,MAT0123,30,152,55733.84
SO00202,MAT0029,40,683,26862.39
SO00202,MAT0189,50,370,5542.6
SO00203,MAT0073,10,895,168000.45
SO00204,MAT0041,10,706,272042.98
SO00205,MAT0007,10,704,76623.36
SO00205,MAT0103,20,704,312653.44
SO00206,MAT0093,10,814,103337.3
SO00206,MAT0163,20,856,84170.48
SO00206,MAT0041,30,773,297860.09
SO00206,MAT0146,40,63,23865.03
SO00207,MAT0069,10,59,23326.24
SO00207,MAT0123,20,425,155834.75
SO00207,MAT0187,30,126,9395.82
SO00207,MAT0096,40,949,309421.45
SO00208,MAT0182,10,199,50237.55
SO00208,MAT0046,20,15,4782.0
SO00208,MAT0059,30,388,121180.16
SO00208,MAT0136,40,183,39262.65
SO00208,MAT0077,50,716,247027.16
SO00209,MAT0176,10,270,116677.8
SO00209,MAT0169,20,687,102706.5
SO00209,MAT0119,30,382,41256.0
SO00209,MAT0065,40,766,166513.08
SO00210,MAT0157,10,511,53706.1
SO00210,MAT0058,20,97,14961.28
SO00211,MAT0019,10,562,45701.84
SO00211,MAT0021,20,79,20109.45
SO00211,MAT0178,30,740,305553.4
SO00212,MAT0143,10,905,419186.95
SO00213,MAT0181,10,285,123992.1
SO00213,MAT0196,20,309,125123.37
SO00213,MAT0183,30,506,143865.92
SO00214,MAT0075,10,442,40668.42
SO00214,MAT0139,20,970,401667.3
SO00214,MAT0167,30,967,431678.47
SO00214,MAT0057,40,39,16193.97
SO00214,MAT0034,50,380,185565.4
SO00215,MAT0158,10,297,50537.52
SO00215,MAT0147,20,33,8946.3
SO00216,MAT0144,10,380,164749.0
SO00216,MAT0038,20,367,80281.25
SO00217,MAT0057,10,620,257442.6
SO00218,MAT0069,10,795,314311.2
SO00218,MAT0055,20,828,11078.64
SO00219,MAT0013,10,593,273343.35
SO00219,MAT0111,20,561,11421.96
SO00219,MAT0176,30,804,347440.56
SO00219,MAT0013,40,587,270577.65
SO00220,MAT0047,10,265,29600.5
SO00220,MAT0075,20,74,6808.74
SO00220,MAT0030,30,508,177546.0
SO00220,MAT0081,40,741,177802.95
SO00220,MAT0136,50,538,115427.9
SO00221,MAT0172,10,524,75340.72
SO00221,MAT0019,20,113,9189.16
SO00222,MAT0151,10,892,274700.32
SO00222,MAT0085,20,870,62013.6
SO00222,MAT0087,30,636,102415.08
SO00222,MAT0113,40,108,540.0
SO00222,MAT0054,50,631,118028.55
SO00223,MAT0082,10,72,21079.44
SO00223,MAT0118,20,535,114586.3
SO00223,MAT0180,30,401,44442.83
SO00224,MAT0086,10,603,178524.18
SO00224,MAT0083,20,745,72637.5
SO00224,MAT0156,30,722,319744.92
SO00224,MAT0066,40,660,101772.0
SO00224,MAT0152,50,831,274778.46
SO00225,MAT0114,10,561,46417.14
SO00225,MAT0091,20,847,11824.12
SO00225,MAT0167,30,790,352663.9
SO00226,MAT0091,10,352,4913.92
SO00227,MAT0171,10,177,43453.5
SO00228,MAT0037,10,535,232366.55
SO00228,MAT0141,20,348,143602.2
SO00228,MAT0173,30,206,20523.78
SO00228,MAT0078,40,956,157013.44
SO00228,MAT0185,50,943,325438.73
SO00229,MAT0104,10,542,55706.76
SO00229,MAT0051,20,979,377012.9
SO00230,MAT0010,10,206,46679.6
SO00230,MAT0136,20,109,23385.95
SO00230,MAT0185,30,985,339933.35
SO00231,MAT0065,10,808,175643.04
SO00231,MAT0133,20,66,30224.04
SO00232,MAT0162,10,279,27710.28
SO00232,MAT0117,20,861,375860.94
SO00233,MAT0143,10,670,310337.3
SO00233,MAT0076,20,637,121832.62
SO00233,MAT0130,30,420,50954.4
SO00233,MAT0085,40,671,47828.88
SO00233,MAT0167,50,181,80800.21
SO00234,MAT0073,10,288,54060.48
SO00234,MAT0132,20,459,34704.99
SO00234,MAT0024,30,343,134260.49
SO00234,MAT0026,40,697,103720.57
SO00234,MAT0094,50,689,193085.36
