vendor_id,vendor_name,city,country
VEND0183,Booker PLC,Brownside,Costa Rica
VEND0184,Allen-Rogers,Lewisville,Slovakia (Slovak Republic)
VEND0185,Crane LLC,Kristyfurt,Jersey
VEND0186,Jones Ltd,Adrianburgh,Japan
VEND0187,"Kennedy, Jones and Chapman",Nathanland,South Georgia and the South Sandwich Islands
VEND0188,Jones Ltd,Williamhaven,Saint Pierre and Miquelon
VEND0189,Young LLC,Port Billburgh,Cape Verde
VEND0190,"Stanley, Greene and Thomas",West Sheilashire,Kuwait
VEND0191,Vance-Hughes,North Emilyport,Bouvet Island (Bouvetoya)
VEND0192,"Anderson, Ortiz and Harvey",Lake Janetmouth,Botswana
VEND0193,Riley-Lopez,Peterborough,Saudi Arabia
VEND0194,Bennett PLC,Lake Davidberg,Argentina
VEND0195,Roberts PLC,Colleenburgh,Senegal
VEND0196,"Abbott, Simmons and Schmidt",Janetfurt,Benin
VEND0197,Wilson-Rose,North Elizabethberg,Turkmenistan
VEND0198,Rogers PLC,West Chadberg,France
VEND0199,Rice and Sons,Ronaldfurt,Vietnam
VEND0200,Reese LLC,West Jason,Nepal
VEND0201,Kelly-Adams,Port Christopherville,Oman
VEND0202,Barrett PLC,Karachester,Estonia
VEND0203,Dennis LLC,Reedburgh,Tajikistan
VEND0204,Ramos-Ingram,Alexisport,Micronesia
VEND0205,James-Ellis,East Brittany,Palestinian Territory
VEND0206,Rhodes Ltd,Kempport,Angola
VEND0207,Montes Group,East Ryanfort,French Guiana
VEND0208,Black Ltd,Jennabury,Finland
VEND0209,Bradshaw and Sons,Kennedymouth,Mexico
VEND0210,Jordan PLC,Port Daniel,Gabon
VEND0211,Stafford Group,South Carol,Netherlands
VEND0212,Dean-Brown,Port Christopherview,Sierra Leone
VEND0213,Gordon-Jones,East Carolbury,Reunion
VEND0214,Davis Ltd,North Jessicaside,South Africa
VEND0215,Cunningham-Adams,Gibbsborough,Nauru
VEND0216,Thompson LLC,Lake Hollyview,Rwanda
VEND0217,"Williams, Evans and Mccall",Ashleystad,Guadeloupe
VEND0218,Cross-Martinez,Fletcherborough,Kuwait
VEND0219,Lee-Young,Mariemouth,Burundi
VEND0220,Bates-Williams,Lake Robert,Liberia
VEND0221,"Sellers, Meyers and Le",South Ann,Liechtenstein
VEND0222,Nelson-Griffin,Port Nicolestad,Argentina
VEND0223,Morris LLC,Gonzalezland,Vietnam
VEND0224,"Davidson, Frye and Butler",North Morgan,Burkina Faso
VEND0225,Jarvis-Thompson,South Maurice,Ethiopia
VEND0226,Roy Inc,Lake Shawnview,Rwanda
VEND0227,"Anthony, Madden and Oconnor",Lake Beverly,Peru
VEND0228,Smith LLC,Port Cynthia,Egypt
VEND0229,Medina-Brown,Ashleeview,Reunion
VEND0230,Benson-Carter,Arianachester,Luxembourg
VEND0231,Caldwell PLC,West Matthewmouth,Iraq
VEND0232,Marsh-Schmidt,South Sharon,Kazakhstan
VEND0233,"Hernandez, Ramirez and Griffin",Lake Katelyn,Mali
VEND0234,"Watkins, Vargas and Liu",Lake Robin,Gibraltar
VEND0235,Patel-Vargas,Stevenshaven,Nepal
VEND0236,Scott-Paul,Campbellburgh,Vanuatu
VEND0237,Tucker LLC,Kevinton,Lebanon
VEND0238,"Campbell, Chapman and Cohen",Lake Anthonytown,Algeria
VEND0239,"Reed, Jensen and White",New Ashley,Niue
VEND0240,Wagner and Sons,South Kimberlyview,Sierra Leone
VEND0241,Beltran Group,Johnhaven,Samoa
VEND0242,Moore-Young,East Wendy,El Salvador
VEND0243,"Norris, Hernandez and Diaz",Morenoport,Burundi
VEND0244,Wood-Franklin,Odonnellport,Costa Rica
VEND0245,Santiago-Brown,North Patricia,Niger
VEND0246,"Jones, Adams and Barker",Robertschester,Kiribati
VEND0247,Morgan Ltd,Gomezmouth,Kyrgyz Republic
VEND0248,Snyder-Henry,Lake Sarah,Denmark
VEND0249,Benjamin-Alvarado,Peterville,Saint Vincent and the Grenadines
VEND0250,"Johnson, Sanford and Reyes",Lake Natalieton,Niger
VEND0251,Smith-Harmon,Laurenport,Malta
VEND0252,Adams and Sons,Lake Jodistad,Maldives
VEND0253,Thompson-Graham,Carolstad,Greece
VEND0254,"Ramos, Davis and Harris",Arnoldshire,Aruba
VEND0255,Leblanc Inc,South Joeside,Ghana
VEND0256,"Whitehead, Rodriguez and Herrera",East Samanthaton,Cyprus
VEND0257,Perez Group,Lake Chadland,Cook Islands
VEND0258,Morales LLC,West Matthew,Iceland
VEND0259,"Montes, Walter and Molina",Lake Russell,Tunisia
VEND0260,Flores PLC,Lake Eduardoside,Montenegro
VEND0261,Smith LLC,Port Williamshire,Chad
VEND0262,"Martin, Wilson and Blake",Andreport,South Georgia and the South Sandwich Islands
VEND0263,Ellis-Underwood,Jessefort,Saint Pierre and Miquelon
VEND0264,Jackson-Newman,Robertbury,Chile
VEND0265,Bautista-Cox,Richardberg,American Samoa
VEND0266,"Huynh, Henry and Stephens",Richardchester,Guadeloupe
VEND0267,"Pham, Garner and Ortiz",West Erikport,Solomon Islands
VEND0268,Wood Inc,Carlastad,Kenya
VEND0269,"Bright, Hodges and Ramirez",West Dustinstad,Kenya
VEND0270,Barrera-Bradley,Lake Stacieside,Bulgaria
VEND0271,Richard Inc,Gravesbury,Belgium
VEND0272,"Dyer, Nelson and Chambers",Meyerchester,Argentina
VEND0273,Davis-Vargas,New Susanton,Luxembourg
VEND0274,Lyons-Mitchell,Brewerport,Portugal
VEND0275,Cooley-Vasquez,Port Jacobmouth,South Africa
VEND0276,Parsons-Huynh,New Matthew,South Georgia and the South Sandwich Islands
VEND0277,"Woodard, Thomas and Wilcox",Stokestown,Cameroon
VEND0278,Jimenez-Reynolds,West Kristinmouth,Belgium
VEND0279,Barnett-Vargas,New Megan,Solomon Islands
VEND0280,Petersen-Powell,Rodneyfort,Kiribati
VEND0281,"Brown, Mejia and Lawson",Lake Elizabethburgh,Montenegro
VEND0282,Keith-Parker,West Erinburgh,Northern Mariana Islands
VEND0283,"Burns, Walker and Sanchez",North Theresahaven,Colombia
VEND0284,Gutierrez-Williams,Danielmouth,Sao Tome and Principe
VEND0285,"Conway, Jenkins and Ball",South Samanthaport,Paraguay
VEND0286,"Lee, Collins and Williams",North Mary,Cameroon
VEND0287,"Mercado, Daniel and Williams",Lake Philipmouth,Australia
VEND0288,Schultz-Olsen,Barrettmouth,Western Sahara
VEND0289,Nelson and Sons,Jerryfort,Peru
VEND0290,Cuevas-Young,East Heatherfurt,Taiwan
VEND0291,Morris and Sons,South Davidside,Aruba
VEND0292,Mccall Inc,West Vanessaland,Switzerland
VEND0293,Lopez-Landry,Patriciamouth,Saint Vincent and the Grenadines
VEND0294,"Miller, Anderson and Reynolds",Miafort,Belarus
VEND0295,"Moore, Parker and Oliver",Lake Cristianview,Belize
VEND0296,Warren-Johnson,Nicholsview,Afghanistan
VEND0297,"Jimenez, Hunt and Gonzalez",Lake Gregorystad,Madagascar
VEND0298,Castillo LLC,New Robertport,Cape Verde
VEND0299,Porter-Henson,Hunterton,Kiribati
VEND0300,Aguilar-Espinoza,Jamesburgh,Saint Vincent and the Grenadines
VEND0301,Cobb LLC,Jonesfort,Cook Islands
VEND0302,"Davis, Hardy and Ferguson",South Kristinshire,Tanzania
VEND0303,"Tran, Gonzales and Soto",East Monicafort,Martinique
VEND0304,Smith LLC,Lake Micheleland,Micronesia
VEND0305,Perry-Murphy,Port Melissachester,Myanmar
VEND0306,Ramirez and Sons,Mckenziestad,Vanuatu
VEND0307,"Sharp, Taylor and Jenkins",Annamouth,India
VEND0308,Cochran LLC,New Kylietown,Burkina Faso
VEND0309,Nelson Group,North Aliciamouth,Anguilla
VEND0310,Rose PLC,Lake Aliceberg,Kuwait
VEND0311,"Smith, Cole and Arias",Tiffanyburgh,Singapore
VEND0312,"Smith, Palmer and Gonzalez",Davidshire,Saudi Arabia
VEND0313,"Paul, Wyatt and Walsh",Stephenland,Eritrea
VEND0314,"Valdez, Jimenez and Kennedy",Johnsonmouth,Antarctica (the territory South of 60 deg S)
VEND0315,"Hernandez, Ellis and Little",North William,New Caledonia
VEND0316,Logan-Harris,Reyesberg,Honduras
VEND0317,Roth LLC,Lake Mariabury,Uganda
VEND0318,Robinson LLC,Lake Carlos,Luxembourg
VEND0319,Flores-Velasquez,Smithberg,Niue
VEND0320,Morales-Clark,North Shannon,Bhutan
VEND0321,"Martin, Smith and Glenn",Alanton,Japan
VEND0322,Nelson-White,Lake Bruce,Dominica
VEND0323,"Peterson, Peterson and Mcgrath",New Christianton,Austria
VEND0324,"Olson, Thompson and Dixon",Liland,Burkina Faso
VEND0325,"Martinez, Diaz and Moore",Lake Laurenside,Denmark
VEND0326,Tucker-Duncan,New Wanda,Eritrea
VEND0327,"Smith, James and Long",West Benjamin,Palestinian Territory
VEND0328,"Garcia, Lopez and Henderson",Port Alexismouth,Denmark
VEND0329,Tucker-Peterson,Brianfurt,Uzbekistan
VEND0330,"Villegas, Avila and Burton",Faithberg,Greece
VEND0331,"Walker, Simpson and Moyer",Alanfurt,Uganda
VEND0332,"Jacobson, Le and Jackson",Erictown,Netherlands
VEND0333,"Carson, Scott and Gonzalez",Port Shawn,British Virgin Islands
VEND0334,"Stewart, Blake and Vega",Chadside,Marshall Islands
VEND0335,Pierce-Perez,East Keithfurt,Poland
VEND0336,"Newman, Roberson and Gonzalez",East Jonathanland,Iran
VEND0337,Meyers LLC,Hansonhaven,Macao
VEND0338,Rosario-Watson,West Melanieshire,Falkland Islands (Malvinas)
VEND0339,Gray-Miller,Farrellland,Bulgaria
VEND0340,Larsen-Whitehead,South Jimmy,Eritrea
VEND0341,James LLC,Hollowayside,Equatorial Guinea
VEND0342,Harris LLC,Chandlertown,Saint Lucia
VEND0343,"Williams, Bishop and Williams",Port Destinybury,Hungary
VEND0344,Johnson-Bartlett,Cruzbury,Chile
VEND0345,Cummings-Colon,Priceberg,Gabon
VEND0346,Elliott-Miller,Williamsmouth,Pitcairn Islands
VEND0347,Walker-Good,North Steven,Guinea
VEND0348,"Hall, Sanders and Wilson",Woodton,Belgium
VEND0349,"Hernandez, Brooks and Nguyen",North Ashleestad,Turkmenistan
VEND0350,"Hutchinson, Bennett and Davis",New Richard,Angola
VEND0351,Ramirez-Brown,East Meghan,Ecuador
VEND0352,Hill-Jones,South Scotthaven,Netherlands Antilles
VEND0353,Joseph-Simpson,East Cynthiaside,Kyrgyz Republic
VEND0354,Barnett-Johnson,Richardstad,Ecuador
VEND0355,Davis Ltd,Westview,Macao
VEND0356,Moody Group,Adkinsstad,Faroe Islands
VEND0357,"Obrien, Vazquez and Thomas",East Ryan,Portugal
VEND0358,Hunt-Ayers,South Stephanie,Vanuatu
VEND0359,Cochran-Rodriguez,East Jenniferport,Mayotte
VEND0360,"Martin, Velazquez and Bryant",Williamsbury,Togo
VEND0361,Wagner-Mendoza,Grantville,Kyrgyz Republic
VEND0362,Barnes-Davis,Austinside,Solomon Islands
VEND0363,Brown-Mora,Hallchester,Kazakhstan
VEND0364,Alexander LLC,West Hannah,French Guiana
VEND0365,Hill Ltd,Friedmanburgh,Italy
VEND0366,Harvey-Smith,Russellfurt,Benin
VEND0367,Thompson LLC,Karenview,Serbia
VEND0368,"Williams, Gonzalez and Mcclain",South Michael,Singapore
VEND0369,Smith Ltd,Patrickmouth,Pitcairn Islands
VEND0370,"Walters, Vega and Rosales",Santosside,Mexico
VEND0371,Lopez Inc,North Andres,Botswana
VEND0372,Carter-Gomez,Mossborough,Martinique
VEND0373,Bass-Roberts,East Jason,Botswana
VEND0374,"Moore, Ward and Harris",Freystad,Lesotho
VEND0375,Jones-Taylor,Cindyberg,Cuba
VEND0376,"Pearson, Paul and Avery",South Jamieport,Belize
VEND0377,Grimes PLC,Lake Thomas,Eritrea
VEND0378,Diaz-Lee,Davidshire,Uruguay
VEND0379,"Anthony, Hubbard and Johnson",North Lisa,Lithuania
VEND0380,"Meza, Trujillo and Watkins",West Andreashire,Jamaica
VEND0381,Lee and Sons,Moralesberg,Chad
VEND0382,Wilson-Barnes,Sandersmouth,Libyan Arab Jamahiriya
VEND0383,Wheeler and Sons,Andreaburgh,Colombia
VEND0384,Lewis-Mason,East Robert,Guinea-Bissau
VEND0385,"Stewart, Herrera and Johnson",East Melissa,Guatemala
VEND0386,"White, Torres and Price",Frederickfort,Marshall Islands
VEND0387,Sanchez-Conley,Whitemouth,Kyrgyz Republic
VEND0388,Fields-Chan,Hamiltonfurt,United Arab Emirates
VEND0389,"Harper, Brooks and Kennedy",Port Arielbury,Gabon
VEND0390,"Moore, Allen and Cline",Kimchester,Chad
VEND0391,White-Thomas,South Shannon,Saint Kitts and Nevis
VEND0392,Wilson and Sons,Tamarafurt,Rwanda
VEND0393,"Hurst, Berger and Reeves",East Mariatown,Chile
VEND0394,Evans Inc,Perezton,Cote d'Ivoire
VEND0395,"Wright, Mccormick and Jones",Lake Brianna,Korea
VEND0396,Moses-Myers,Edwardston,Italy
VEND0397,Conrad LLC,Pruitttown,Mexico
VEND0398,Jackson and Sons,Lake Kristen,Belgium
VEND0399,Myers-Freeman,Lake Gregorychester,New Zealand
VEND0400,"Sanchez, Stevenson and Myers",Jessicaborough,Reunion
VEND0401,Fisher-Martin,Bautistaville,Niger
VEND0402,Ali Group,Port Megan,Mozambique
VEND0403,"Lewis, Terrell and Salazar",West John,Brazil
VEND0404,Cunningham-Alvarez,North Alexandra,Nepal
VEND0405,Peters Inc,Ramirezburgh,Niger
VEND0406,"Moore, Frederick and Becker",Port James,Reunion
VEND0407,Ramirez-Medina,South David,Timor-Leste
VEND0408,Thomas-Williams,Changburgh,Singapore
VEND0409,Reyes Ltd,East Ericmouth,Romania
VEND0410,Love-Schmidt,Meganhaven,Bermuda
VEND0411,Roy-Peck,Lake Dylan,Venezuela
VEND0412,"Wolfe, Hogan and Merritt",Hallchester,Fiji
VEND0413,Morris-White,Cherylside,Azerbaijan
VEND0414,Gibson-Kidd,Marcusfurt,Azerbaijan
VEND0415,"Rojas, Smith and Johnston",Zhangbury,Puerto Rico
VEND0416,"Keller, Bright and Johnson",Braunview,Burundi
VEND0417,Bentley and Sons,Loritown,Kuwait
VEND0418,"Reed, Carpenter and Weaver",West Deannashire,Colombia
VEND0419,"Collins, Carr and Melton",Mirandatown,Lithuania
VEND0420,Martinez and Sons,East Tristan,Mexico
VEND0421,"Schmidt, Chase and Reid",New Crystalstad,Portugal
VEND0422,Allen LLC,South Karen,Tajikistan
VEND0423,Avila Group,Traviston,Comoros
VEND0424,Martinez-White,Port Ashlee,Faroe Islands
VEND0425,Henderson-Proctor,East Jillianfurt,Guinea-Bissau
VEND0426,Ortiz Ltd,Port Michael,Mayotte
VEND0427,"Dudley, Ruiz and Brooks",Carlshire,Monaco
VEND0428,"Warner, Baker and Hernandez",New Karenview,Croatia
VEND0429,Wright-Freeman,South Shannon,France
VEND0430,Beck LLC,Chadtown,Bosnia and Herzegovina
VEND0431,"Black, Jones and Faulkner",New Jayberg,Christmas Island
VEND0432,Khan PLC,North Leahport,Sierra Leone
VEND0433,Kelly LLC,Matthewland,Burundi
VEND0434,"Joseph, Lee and Carter",North Travis,Faroe Islands
VEND0435,Schneider Inc,Stephenside,Afghanistan
VEND0436,"Wilson, Brown and Wilson",Jonathanmouth,United States Minor Outlying Islands
VEND0437,Jones Ltd,North Raymond,Ireland
VEND0438,Jordan-Mitchell,Christophershire,Cuba
VEND0439,Garcia PLC,South Lori,Thailand
VEND0440,"Jacobs, Page and Jimenez",West Sean,Northern Mariana Islands
VEND0441,Good and Sons,East Alexmouth,Belgium
VEND0442,Johnson LLC,East Kathy,Martinique
VEND0443,Terrell and Sons,Warnerland,Liechtenstein
VEND0444,"Williams, Johns and Frank",South Kimberlyton,Zambia
VEND0445,Carr-Lynch,Lake Benjaminton,Mauritania
VEND0446,"Terry, Wilkins and Parker",North Katherineshire,Kazakhstan
VEND0447,Smith-Clark,Beckside,United States Virgin Islands
VEND0448,Garrett-Thomas,East Adam,New Caledonia
VEND0449,Sharp PLC,New Karaberg,Christmas Island
VEND0450,"Freeman, Foster and Johns",Sandramouth,San Marino
VEND0451,Hart Inc,Port Tina,Lao People's Democratic Republic
VEND0452,Oliver LLC,Dudleyview,Spain
VEND0453,Lee-Whitehead,South Pamela,Colombia
VEND0454,Martin LLC,Jenniferbury,Jamaica
VEND0455,"Hill, Miller and Hayden",North Nicholasberg,Togo
VEND0456,Stewart Group,Austinborough,Sierra Leone
VEND0457,Hutchinson-Bowen,Meyerstad,Djibouti
VEND0458,Obrien Ltd,Lake Anne,Guam
