material_id,material_name,material_group,unit_price
MAT0056,Perform Relate,Packaging,444.38
MAT0057,Also Rather,Spare Part,415.23
MAT0058,Process Chance,Spare Part,154.24
MAT0059,Say Stay,Finished Good,312.32
MAT0060,Audience Wrong,Packaging,152.01
MAT0061,Floor Player,Finished Good,436.95
MAT0062,Bring Camera,Finished Good,234.28
MAT0063,Reach Read,Raw Material,125.94
MAT0064,Lose Level,Spare Part,487.79
MAT0065,Short Oil,Spare Part,217.38
MAT0066,Study Part,Packaging,154.2
MAT0067,In Lose,Finished Good,485.21
MAT0068,Identify Staff,Spare Part,464.6
MAT0069,Me Game,Spare Part,395.36
MAT0070,Century Successful,Packaging,357.11
MAT0071,Fall Somebody,Raw Material,103.73
MAT0072,Draw Dinner,Raw Material,361.87
MAT0073,Want Idea,Finished Good,187.71
MAT0074,Cell Down,Finished Good,184.17
MAT0075,Put Area,Spare Part,92.01
MAT0076,Call Late,Packaging,191.26
MAT0077,Arm Firm,Packaging,345.01
MAT0078,Middle Daughter,Packaging,164.24
MAT0079,Sing Nearly,Finished Good,168.88
MAT0080,Significant Customer,Spare Part,412.81
MAT0081,Test Matter,Raw Material,239.95
MAT0082,Born Music,Spare Part,292.77
MAT0083,Start Beat,Raw Material,97.5
MAT0084,Author Positive,Raw Material,309.45
MAT0085,Kind Make,Spare Part,71.28
MAT0086,Nearly Through,Spare Part,296.06
MAT0087,Natural Although,Packaging,161.03
MAT0088,Part Kitchen,Raw Material,475.78
MAT0089,Forget Later,Packaging,259.27
MAT0090,All Up,Spare Part,39.89
MAT0091,Herself Charge,Raw Material,13.96
MAT0092,Many Least,Finished Good,351.28
MAT0093,Hundred State,Finished Good,126.95
MAT0094,Weight Production,Spare Part,280.24
MAT0095,Coach Help,Raw Material,34.55
MAT0096,Indeed Property,Raw Material,326.05
MAT0097,Not Just,Finished Good,12.24
MAT0098,Radio Anything,Finished Good,240.45
MAT0099,Citizen Receive,Spare Part,246.2
MAT0100,Have Produce,Spare Part,179.31
MAT0101,Success Sign,Finished Good,43.8
MAT0102,Party Government,Finished Good,362.14
MAT0103,No Wife,Finished Good,444.11
MAT0104,Blood Approach,Spare Part,102.78
MAT0105,Break Officer,Spare Part,345.23
MAT0106,College Able,Spare Part,376.43
MAT0107,Mouth Stand,Packaging,2.74
MAT0108,West Congress,Finished Good,155.79
MAT0109,Forward Draw,Packaging,231.04
MAT0110,Avoid Lot,Packaging,22.02
MAT0111,Husband Too,Spare Part,20.36
MAT0112,Character Discover,Packaging,248.61
MAT0113,When Beyond,Raw Material,5.0
MAT0114,Technology Indeed,Raw Material,82.74
MAT0115,Suggest Middle,Spare Part,316.61
MAT0116,Generation Act,Packaging,299.39
MAT0117,Drive Tough,Spare Part,436.54
MAT0118,Hand Point,Spare Part,214.18
MAT0119,Score Point,Finished Good,108.0
MAT0120,Require Young,Finished Good,47.53
MAT0121,Art Federal,Finished Good,30.42
MAT0122,Fact Break,Raw Material,352.0
MAT0123,Music Game,Spare Part,366.67
MAT0124,Argue Issue,Packaging,155.69
MAT0125,Appear Democrat,Packaging,186.78
MAT0126,Matter Board,Packaging,239.16
MAT0127,Dark Outside,Packaging,462.89
MAT0128,Direction Strategy,Spare Part,307.11
MAT0129,Hotel Create,Packaging,455.96
MAT0130,Part Seven,Finished Good,121.32
MAT0131,Summer Indicate,Raw Material,205.06
MAT0132,Matter Available,Raw Material,75.61
MAT0133,These According,Raw Material,457.94
MAT0134,Together Commercial,Raw Material,293.23
MAT0135,Always Project,Raw Material,261.8
MAT0136,Choice Building,Spare Part,214.55
MAT0137,Majority Party,Raw Material,107.97
MAT0138,Rock Deal,Raw Material,199.59
MAT0139,Add Rich,Finished Good,414.09
MAT0140,Catch Lot,Packaging,109.54
MAT0141,Manager Conference,Raw Material,412.65
MAT0142,Team Admit,Finished Good,258.66
MAT0143,Director Attention,Packaging,463.19
MAT0144,Suddenly Industry,Finished Good,433.55
MAT0145,Space War,Raw Material,437.7
MAT0146,Us Travel,Finished Good,378.81
MAT0147,Help Offer,Finished Good,271.1
MAT0148,Join Get,Finished Good,468.13
MAT0149,Team We,Raw Material,310.07
MAT0150,Guy Current,Spare Part,386.49
MAT0151,Customer Billion,Raw Material,307.96
MAT0152,Administration Practice,Packaging,330.66
MAT0153,Stop Real,Packaging,225.7
MAT0154,Can Speak,Packaging,150.92
MAT0155,Child Tell,Packaging,486.86
MAT0156,Build Forward,Raw Material,442.86
MAT0157,Quite Back,Spare Part,105.1
MAT0158,Itself Summer,Finished Good,170.16
MAT0159,Half Guess,Raw Material,450.32
MAT0160,Prevent Myself,Packaging,433.38
MAT0161,Sister Health,Finished Good,427.07
MAT0162,Glass Need,Finished Good,99.32
MAT0163,Wind Be,Spare Part,98.33
MAT0164,Discussion Personal,Raw Material,163.1
MAT0165,Choose Future,Raw Material,195.8
MAT0166,Door Church,Finished Good,393.04
MAT0167,Stock Deal,Raw Material,446.41
MAT0168,Growth Money,Packaging,355.3
MAT0169,Federal According,Finished Good,149.5
MAT0170,Painting All,Spare Part,287.77
MAT0171,Religious Spring,Packaging,245.5
MAT0172,Whose Price,Finished Good,143.78
MAT0173,Certain Whole,Spare Part,99.63
MAT0174,Edge Knowledge,Finished Good,181.15
MAT0175,Recent Standard,Raw Material,211.78
MAT0176,Drop Anyone,Finished Good,432.14
MAT0177,Everyone Care,Spare Part,288.56
MAT0178,Hot Maintain,Spare Part,412.91
MAT0179,Quickly Public,Packaging,118.62
MAT0180,Perhaps Own,Raw Material,110.83
MAT0181,Eight Goal,Finished Good,435.06
MAT0182,Teacher Dark,Spare Part,252.45
MAT0183,Energy Interview,Spare Part,284.32
MAT0184,Another Clearly,Finished Good,369.92
MAT0185,Safe Travel,Raw Material,345.11
MAT0186,Put Much,Packaging,481.21
MAT0187,Director His,Finished Good,74.57
MAT0188,Fight Too,Finished Good,434.35
MAT0189,She Account,Finished Good,14.98
MAT0190,Read Well,Finished Good,41.92
MAT0191,Else Write,Finished Good,222.84
MAT0192,Pay Spend,Spare Part,148.33
MAT0193,Into Quickly,Packaging,215.44
MAT0194,Often System,Spare Part,492.52
MAT0195,While Still,Finished Good,64.25
MAT0196,Effect Become,Raw Material,404.93
MAT0197,Major Return,Finished Good,331.64
MAT0198,Any Throw,Finished Good,306.63
MAT0199,Beautiful Then,Raw Material,54.26
